@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
10,9,0.25641,0.310345,-0.631104,-0.442939,0.235112,0.304591,0.000481,0.000542,0,0,0,0,67603,4509,1,1,4,important
13,12,0.309524,0.214286,1.505128,1.718611,0.275564,0.309171,0.001522,0.001842,0.109335,0.139081,0,0,10379,1951,1,1,2,important
1,13,1,0.371429,-1.896047,0.962428,0,0.275564,0.00043,0.001058,0,0.027569,0,0,23951,1744,1,7,1,important
14,1,0.212121,0.25,1.764123,-0.581408,0.259272,0,0.002605,0.000303,0.220576,0,0,0,8627,1448,1,2,22,important
19,3,0.211111,0.6,1.955994,0.403694,0.291528,0,0.005251,0.00044,0.306136,0,0,0,9664,1623,1,1,8,important
2,51,0.4,0.428571,-0.149511,3.382694,0,0.223015,0.000606,0.005883,0,0.322932,0,0,8353,1572,1,10,1,important
9,4,0.1875,0.125,1.115391,0.597987,0.292963,0.281168,0.005856,0.001062,0.333633,0.082751,0,0,10610,1324,1,2,5,important
16,2,0.115108,0.25,0.876667,-0.909248,0.285819,0.346574,0.001858,0.00054,0.109486,0,0,0,23948,2792,1,1,1,important
7,5,0.2,0.384615,0.693129,0.650183,0.318567,0.316757,0.000719,0.001014,0,0.046361,0,0,12588,2594,1,2,14,important
3,3,0.111111,0.25,-0.411608,-0.118082,0.366204,0.318257,0.000714,0.000503,0,0,1,1,16284,1672,1,4,1,important
2,6,0.2,0.352941,0.539694,1.931832,0.346574,0.337135,0.000236,0.000836,0,0.078654,0,0,4193,1249,1,1,3,important
10,41,0.208333,0.253086,-0.281398,1.423116,0.273903,0.275051,0.001471,0.002831,0.052896,0.151979,0,0,47653,4180,1,2,1,important
656,3,0.143545,0.3,4.290128,-0.803894,0.094401,0,0.034825,0.001043,0.527861,0.015532,0,0,32330,2696,1,1,3,important
8,8,0.32,0.235294,1.529226,1.822752,0.303252,0.298835,0.000942,0.00127,0.076064,0.121254,0,0,6235,1120,1,2,1,important
2,13,0.333333,0.481481,1.793292,3.95862,0.346574,0.282549,0.000332,0.002202,0.061434,0.288544,0,0,1197,533,1,2,3,important
1,53,0.090909,0.355705,-1.128692,3.135126,0,0.18401,0.000151,0.00858,0,0.364632,0,0,11119,1548,1,3,2,important
10,12,0.243902,0.428571,0.897153,1.373,0.343218,0.337135,0.001149,0.002059,0.053929,0.141899,0,0,14664,1965,1,1,2,important
7,31,0.179487,0.322917,0.589892,2.371495,0.341454,0.242185,0.001038,0.002486,0.039932,0.170723,0,0,13957,1797,1,10,3,important
4,1,0.190476,0.1,-0.523437,-1.616205,0.281168,0,0.000662,0.000277,0,0,1,1,24281,1709,1,2,1,important
5,1,0.138889,0.142857,-0.140781,-1.456693,0.316757,0,0.000521,0.000291,0,0,1,1,20701,1965,1,5,5,important
5,29,0.185185,0.266055,-0.67985,1.371534,0.333045,0.225642,0.001604,0.002581,0.07946,0.151788,0,0,35490,2692,1,7,1,important
17,6,0.082927,0.136364,0.442003,-0.305925,0.319564,0.289188,0.001913,0.000879,0.10518,0,1,1,39298,3072,1,1,6,important
5,10,0.238095,0.208333,-0.421398,0.565276,0.316757,0.319964,0.001189,0.001318,0.035974,0.053564,0,0,27407,2116,1,1,1,important
15,4,0.176471,0.210526,-0.931186,-1.959416,0.302481,0.281168,0.000616,0.000205,0,0,0,0,136893,5207,1,1,24,important
3,28,0.125,0.297872,-3.00146,-0.474342,0.366204,0.228736,0.000234,0.000267,0,0,0,0,217030,6381,0,12,3,important
21,7,0.168,0.28,1.372026,0.56694,0.256514,0.299135,0.00822,0.001156,0.344249,0.056605,0,0,19153,2509,1,1,3,important
50,6,0.263158,0.4,2.961004,1.134267,0.179243,0.225281,0.010335,0.000836,0.424581,0.058643,0,0,9309,1225,1,1,7,important
11,9,0.392857,0.236842,-0.254889,-0.162033,0.310171,0.174416,0.000536,0.00046,0,0,0,0,51047,3264,1,2,1,important
3,12,0.25,0.363636,-0.264047,1.415773,0.318257,0.299712,0.000618,0.002119,0,0.143935,0,0,14050,2168,1,1,4,important
28,10,0.142857,0.15873,0.640367,-0.095726,0.240058,0.213011,0.002189,0.000865,0.117045,0,1,1,53080,3150,1,1,1,important
3,25,0.272727,0.373134,-1.585148,0.828642,0.318257,0.242762,0.000185,0.001601,0,0.066861,0,0,52653,5280,0,2,2,important
20,4,0.133333,0.133333,0.96782,-0.348092,0.225412,0.281168,0.007941,0.000652,0.324855,0,1,1,27327,2469,1,2,8,important
197,2,0.152241,0.285714,2.045495,-2.251035,0.243553,0,0.008947,0.000166,0.312741,0,0,0,91622,4593,1,1,1,important
2,5,0.333333,0.238095,0.139409,1.349226,0.346574,0.35164,0.00022,0.001224,0,0.122161,0,0,6257,1046,1,15,7,important
14,8,0.358974,0.380952,2.422527,2.156438,0.2718,0.346574,0.00123,0.001371,0.138655,0.154835,0,0,4466,880,1,2,6,important
4,37,0.333333,0.440476,0.301167,2.819317,0.346574,0.232148,0.000768,0.005133,0.009036,0.290875,0,0,10645,1969,1,1,1,important
1,10,0.2,0.384615,-0.099055,2.497056,0,0.300958,0.000671,0.001771,0.073973,0.204937,0,0,3971,812,1,5,2,important
1,14,0.25,0.222222,-0.830493,2.102091,0,0.30249,0.000102,0.003509,0,0.267533,0,0,8252,1049,1,1,5,important
10,22,0.16129,0.328358,0.476527,1.558511,0.282624,0.298683,0.000745,0.001929,0,0.121326,0,0,22332,1554,1,2,2,important
10,3,0.15625,0.176471,1.164494,0.254047,0.294162,0.318257,0.002354,0.00124,0.207637,0.115004,0,0,11224,1572,1,2,12,important
13,4,0.565217,0.5,3.291602,2.406473,0.260775,0.281168,0.001088,0.001106,0.177929,0.180609,0,0,1739,556,1,1,2,important
4,20,0.363636,0.31746,0.119159,2.022123,0.346574,0.291205,0.000655,0.002247,0,0.156579,0,0,12770,2005,1,2,1,important
10,30,0.15625,0.405405,-0.394082,0.998056,0.300958,0.222574,0.001112,0.001517,0.014927,0.063346,0,0,53337,4625,1,4,1,important
14,8,0.208955,0.242424,1.346332,1.080242,0.285082,0.277259,0.003372,0.00113,0.225365,0.065562,0,0,13101,1923,1,1,3,important
1,1,0.111111,0.333333,-0.964039,-0.670513,0,0,0.000411,0.000623,0,0.01441,1,1,9431,1193,1,2,4,important
2,24,0.666667,0.393443,-1.02925,1.749183,0,0.298392,0.000152,0.001581,0,0.089514,0,0,20133,1714,1,2,1,important
7,13,0.21875,0.40625,0.570099,1.482665,0.359664,0.252725,0.000985,0.00265,0.033094,0.181013,0,0,14236,1965,1,3,1,important
10,9,0.188679,0.391304,1.804719,1.992884,0.245506,0.287265,0.001215,0.001005,0.120254,0.094485,0,0,5917,1036,1,1,6,important
2,18,0.166667,0.391304,-1.138091,1.352659,0.346574,0.271769,0.000337,0.001066,0,0.029033,0,0,22448,2064,1,3,1,important
28,23,0.277228,0.534884,2.24342,2.340236,0.23453,0.200633,0.003291,0.002979,0.233382,0.219826,0,0,10684,1144,1,1,1,important
163,7,0.463068,0.636364,3.870885,1.016571,0.158809,0.341454,0.007846,0.001225,0.346044,0.073684,0,0,12217,1846,1,1,1,important
1,28,0.2,0.333333,1.441306,5.067037,0,0.201155,0.000178,0.00656,0.034435,0.443115,0,0,851,337,1,19,1,important
5,29,0.217391,0.318681,0.067784,2.119168,0.250201,0.217103,0.000565,0.003018,0,0.190524,0,0,16804,1995,1,10,2,important
7,15,0.318182,0.272727,0.958604,2.014271,0.205058,0.25243,0.000835,0.003803,0.029711,0.25492,0,0,9653,1102,1,1,1,important
21,6,0.2,0.315789,1.922236,0.962999,0.290213,0.346574,0.001767,0.000763,0.141386,0.018965,0,0,11048,1625,1,1,6,important
9,25,0.169811,0.367647,0.64751,1.962687,0.304591,0.314583,0.001097,0.002152,0.040529,0.141998,0,0,16940,2371,1,1,2,important
10,32,0.526316,0.32,-0.417266,1.039411,0.319964,0.203737,0.000392,0.001088,0,0.009869,0,0,54588,3114,1,2,1,important
11,26,0.22449,0.309524,-0.753887,0.399841,0.221394,0.257845,0.000755,0.001244,0,0.024568,0,0,84078,5007,1,1,3,important
19,3,0.169643,0.176471,1.5486,-0.003701,0.278443,0.366204,0.003569,0.00166,0.254716,0.142882,0,0,14524,1223,1,1,3,important
116,9,0.168605,0.2,2.898668,0.635828,0.184835,0.321654,0.017436,0.001228,0.437147,0.048758,0,0,22986,2605,1,1,1,important
2,60,0.166667,0.447761,-1.555806,2.138918,0,0.219804,0.000405,0.003487,0,0.193215,0,0,34087,2535,1,2,1,important
54,5,0.183673,0.178571,0.880479,-1.205541,0.210484,0.336506,0.003516,0.000489,0.18059,0,0,0,80517,4169,1,1,3,important
1,27,0.1,0.457627,-0.234725,3.354638,0,0.17428,0.000233,0.004257,0,0.306008,0,0,4548,1386,1,5,3,important
24,5,0.228571,0.294118,0.699728,-0.575362,0.233338,0.35164,0.001761,0.000484,0.082761,0,0,0,42875,4606,1,1,1,important
24,361,0.179104,0.3954,?,1.69807,0.251981,0.123601,0.000406,0.00221,0,0.09983,0,0,318715,9142,0,1,1,important
