@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
20,4,0.425532,0.363636,4.488797,0.778334,0.213011,0,0.003031,0.000557,0.431614,0.046233,0,1,8154,1181,1,1,2,important
4,280,0.235294,0.51756,1.481208,3.628679,0.346574,0.078723,0.000709,0.010797,0.286109,0.405268,0,0,33005,2580,1,1,1,important
6,34,0.2,0.73913,3.914307,3.547883,0.366204,0.287479,0.001526,0.003877,0.366993,0.341415,0,0,4345,677,1,1,1,important
2,96,0.333333,0.727273,2.367356,4.137533,0,0.237498,0.000778,0.007067,0.298479,0.401017,0,0,6803,1248,1,1,1,important
8,34,0.444444,0.478873,3.878089,3.223984,0.346574,0.251554,0.001655,0.005528,0.373104,0.371585,0,0,6007,929,1,1,3,important
2,40,0.166667,0.338983,1.694328,2.589036,0,0.228571,0.000235,0.003542,0.178302,0.271013,0,0,13335,1020,1,1,1,important
8,4,0.8,0.571429,3.621774,0.827603,0.281168,0.346574,0.00049,0.000692,0.251395,0.062271,0,0,7762,1213,1,1,4,important
2,20,0.5,1.428571,2.750221,2.951782,0,0.305432,0.000259,0.011022,0.18995,0.460772,0,0,4639,1042,1,1,3,unimportant
4,44,0.5,0.647059,3.6272,3.924071,0,0.236291,0.000599,0.00426,0.273439,0.341721,0,0,3860,956,1,1,2,unimportant
2,2,0.5,0.4,1.855943,-0.245081,0,0,0.000109,0.000513,0.102553,0.006406,0,0,11345,1407,1,1,1,unimportant
2,12,0.4,0.8,2.623069,2.313805,0,0.225281,0.000502,0.004302,0.255246,0.332045,0,0,5268,1040,1,1,1,unimportant
26,84,0.619048,0.430769,1.890552,0.962248,0.178654,0.178351,0.000286,0.000909,0.195811,0.05202,0,0,142468,6764,0,1,1,unimportant
4,164,1,0.658635,-0.033341,1.579207,0,0.18611,0.000028,0.001185,0,0.087462,0,0,150086,7646,0,2,1,unimportant
2,4,0.4,2,3.269852,1.861975,0,0,0.00049,0.000653,0.257072,0.119154,0,0,2759,394,1,1,9,unimportant
2,18,0.2,0.45,-0.663394,-0.567194,0,0,0.000011,0.000227,0,0,0,0,140909,5357,1,2,1,unimportant
10,2,0.714286,0.666667,4.331602,0.62114,0,0,0.001332,0.000158,0.351578,0,0,0,4771,873,0,1,4,unimportant
2,2,0.285714,0.222222,1.41921,-0.681814,0,0,0.000178,0.001016,0.150214,0.093056,0,0,17558,1505,1,2,2,unimportant
2,2,1,0.666667,1.303188,-0.797836,0,0,0.000076,0.000381,0.065829,0,0,0,19718,1628,1,2,13,unimportant
2,66,0.5,1.03125,1.517458,2.912941,0,0.215065,0.000076,0.002669,0.065625,0.219967,0,0,15915,2253,1,1,1,unimportant
14,4,0.4375,0.285714,3.110824,-0.242964,0.265437,0,0.000376,0.000441,0.22362,0,0,0,22642,2268,1,1,8,unimportant
