@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
13,4,0.565217,0.363636,3.291602,2.302933,0.260775,0.281168,0.001088,0.001073,0.177929,0.175672,0,0,1739,556,1,1,9,important
20,12,0.140845,0.210526,0.330895,0.010055,0.198314,0.246854,0.003383,0.000586,0.181496,0,0,0,51666,3270,1,1,1,important
13,7,0.309524,0.134615,1.505128,1.076074,0.275564,0.288435,0.001522,0.0047,0.109335,0.275026,0,0,10379,1951,1,1,5,important
1,65,0.083333,0.31401,-1.460038,2.904335,0,0.114974,0.000199,0.007448,0,0.331847,0,0,15487,1701,1,6,1,important
8,1,0.170213,0.111111,1.682682,-0.206774,0.311916,0,0.001165,0.000256,0.140465,0,1,1,5348,966,1,2,4,important
10,7,0.15625,0.318182,-0.394082,-0.560772,0.300958,0.265437,0.001112,0.000227,0.014927,0,0,0,53337,4625,1,4,14,important
4,12,0.25,0.461538,0.988413,2.277011,0.346574,0.240488,0.000372,0.001105,0,0.124605,0,0,5354,566,1,3,1,important
7,3,0.2,0.230769,0.693129,0.035817,0.318567,0.366204,0.000719,0.000857,0,0.01787,0,0,12588,2594,1,2,14,important
3,1,0.111111,0.166667,-0.411608,-1.320235,0.366204,0,0.000714,0.000213,0,0,1,1,16284,1672,1,4,1,important
3,1,0.125,0.5,0.047306,-0.861321,0.318257,0,0.002132,0.000591,0.170473,0,1,1,10291,1623,1,7,9,important
5,27,0.217391,0.321429,0.067784,1.944168,0.250201,0.208295,0.000565,0.003097,0,0.191282,0,0,16804,1995,1,10,1,important
4,31,0.210526,0.226277,0.135024,2.372702,0.346574,0.192039,0.000492,0.004796,0,0.307788,0,0,12569,1529,1,2,8,important
1,10,0.1,0.285714,-1.520666,0.971904,0,0.300958,0.001617,0.000835,0.105246,0.005704,0,0,16455,2347,1,9,1,important
5,8,0.185185,0.307692,-1.750055,-1.090066,0.333045,0.300085,0.000221,0.000677,0,0,0,1,103488,4618,1,8,9,important
1,34,0.090909,0.22973,-1.823053,1.893293,0,0.227158,0.000163,0.005342,0,0.269924,0,0,22265,1791,1,3,4,important
1,271,0.090909,0.335812,-1.128692,4.663412,0,0.076437,0.000151,0.037422,0,0.577717,0,0,11119,1548,1,3,1,important
21,5,0.2,0.208333,1.922236,0.677137,0.290213,0.250201,0.001767,0.000667,0.141386,0,0,0,11048,1625,1,1,4,important
9,27,0.169811,0.341772,0.64751,1.936108,0.304591,0.209944,0.001097,0.002416,0.040529,0.155798,0,0,16940,2371,1,1,1,important
10,42,0.243902,0.253012,0.897153,2.522223,0.343218,0.161328,0.001149,0.004459,0.053929,0.253153,0,0,14664,1965,1,1,1,important
2,10,0.285714,0.666667,0.328691,2.128115,0.346574,0.343218,0.000236,0.001283,0,0.136577,0,0,5178,1072,1,1,3,important
7,49,0.179487,0.376923,0.589892,2.725788,0.341454,0.119209,0.001038,0.00401,0.039932,0.238587,0,0,13957,1797,1,10,1,important
5,2,0.138889,0.666667,-0.140781,-0.867086,0.316757,0.346574,0.000521,0.000115,0,0,1,1,20701,1965,1,5,15,important
17,18,0.082927,0.222222,0.442003,0.689147,0.319564,0.241717,0.001913,0.001349,0.10518,0.051554,1,1,39298,3072,1,1,3,important
10,8,0.526316,0.109589,-0.417266,-0.450424,0.319964,0.324772,0.000392,0.000599,0,0,0,0,54588,3114,1,2,1,important
387,4,0.171012,0.285714,2.408327,-0.053472,0.142149,0,0.00217,0.000154,0.09278,0,0,0,635977,8810,1,1,4,important
15,1,0.176471,0.142857,-0.931186,-3.449251,0.302481,0,0.000616,0.000162,0,0,0,0,136893,5207,1,1,7,important
116,2,0.168605,0.333333,2.898668,-0.97179,0.184835,0.346574,0.017436,0.000094,0.437147,0,0,0,22986,2605,1,1,2,important
2,7,0.285714,0.170732,0.430667,1.873416,0.346574,0.319259,0.000349,0.001499,0,0.15673,0,0,4676,1070,1,6,5,important
27,6,0.247706,0.285714,2.607988,1.293897,0.272417,0.346574,0.003603,0.007768,0.2682,0.380398,0,0,7155,1388,1,1,6,important
3,9,0.176471,0.310345,0.564076,1.852674,0.366204,0.327696,0.000582,0.001268,0.024356,0.133169,0,0,6138,1041,1,12,14,important
54,3,0.183673,0.214286,0.880479,-1.819908,0.210484,0.318257,0.003516,0.000139,0.18059,0,0,0,80517,4169,1,1,1,important
3,10,0.375,0.204082,-0.67297,0.720988,0.366204,0.319964,0.00053,0.000671,0,0,0,0,21148,1996,1,2,1,important
50,1,0.263158,0.333333,2.961004,-0.761033,0.179243,0,0.010335,0.000205,0.424581,0,0,0,9309,1225,1,1,24,important
3,186,0.375,0.345083,-0.66447,3.65265,0.318257,0.152358,0.000192,0.014331,0,0.40873,0,0,20969,2054,1,1,1,important
12,1,0.196721,0.5,1.569647,-0.725274,0.246854,0,0.002867,0.000649,0.209987,0,0,0,8982,2306,1,3,19,important
11,6,0.392857,0.181818,-0.254889,-0.671039,0.310171,0.318257,0.000536,0.000509,0,0,0,0,51047,3264,1,2,1,important
20,3,0.273973,0.230769,1.05802,-0.649114,0.25363,0.318257,0.003356,0.000548,0.194013,0,0,0,24970,1226,1,1,2,important
24,2,0.228571,0.125,0.699728,-1.595193,0.233338,0.346574,0.001761,0.000198,0.082761,0,0,0,42875,4606,1,1,11,important
28,4,0.142857,0.108108,0.640367,-1.115557,0.240058,0.346574,0.002189,0.000645,0.117045,0,1,1,53080,3150,1,1,12,important
3,69,0.272727,0.269531,-1.585148,1.740332,0.318257,0.146443,0.000185,0.003379,0,0.172734,0,0,52653,5280,0,2,1,important
197,4,0.152241,0.129032,2.045495,-1.661429,0.243553,0.346574,0.008947,0.000299,0.312741,0,0,0,91622,4593,1,1,1,important
