@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
10,5,0.25641,0.208333,-0.631104,-1.690136,0.235112,0.316757,0.000481,0.000186,0,0,0,0,67603,4509,1,1,3,important
13,8,0.309524,0.421053,1.505128,0.653736,0.275564,0.188385,0.001522,0.001953,0.109335,0.108148,0,0,10379,1951,1,1,2,important
1,170,1,0.311927,-1.896047,2.873867,0,0.167762,0.00043,0.012177,0,0.356538,0,0,23951,1744,1,7,1,important
14,2,0.212121,0.666667,1.764123,-0.547671,0.259272,0.346574,0.002605,0.000218,0.220576,0,0,1,8627,1448,1,2,8,important
9,2,0.140625,0.125,-0.411874,-2.281836,0.304591,0.346574,0.002096,0.000188,0.114781,0,0,0,48865,3252,1,1,2,important
9,8,0.1875,0.2,1.115391,0.631723,0.292963,0.298835,0.005856,0.00204,0.333633,0.142154,0,0,10610,1324,1,2,4,important
10,59,0.208333,0.289216,-0.281398,1.12767,0.273903,0.25762,0.001471,0.002833,0.052896,0.086813,0,0,47653,4180,1,2,1,important
8,22,0.32,0.282051,1.529226,2.174942,0.303252,0.26495,0.000942,0.003537,0.076064,0.235581,0,0,6235,1120,1,2,2,important
5,4,0.090909,0.153846,0.127557,-0.461471,0.35164,0,0.00108,0.000822,0.067168,0,1,1,15829,1817,1,2,3,important
7,7,0.241379,0.333333,0.977216,0.611332,0.291311,0.205058,0.001476,0.001065,0.111977,0.02144,0,0,9475,2159,1,1,9,important
2,120,0.1,0.306122,-2.205254,1.523206,0,0.188489,0.000523,0.005404,0,0.186795,0,0,65259,3980,1,7,1,important
26,2,0.125604,0.285714,1.826615,-1.104219,0.271539,0.346574,0.003735,0.000122,0.245931,0,1,1,15051,1843,1,1,4,important
17,14,0.082927,0.25,0.442003,-0.118038,0.319564,0.275211,0.001913,0.001004,0.10518,0,1,1,39298,3072,1,1,1,important
5,205,0.238095,0.291607,-0.421398,2.92629,0.316757,0.154741,0.001189,0.021786,0.035974,0.438342,0,0,27407,2116,1,1,1,important
1,92,0.5,0.40708,0.053544,4.209448,0,0.222722,0.000261,0.011061,0,0.424163,0,0,3409,507,1,13,1,important
387,2,0.171012,0.5,2.408327,?,0.142149,0,0.00217,0.000153,0.09278,0,0,0,635977,8810,1,1,7,important
15,2,0.176471,0.133333,-0.931186,-3.311974,0.302481,0.346574,0.000616,0.000145,0,0,0,0,136893,5207,1,1,9,important
8,96,0.131148,0.294479,0.493098,2.61212,0.360732,0.153838,0.001895,0.011867,0.129471,0.380825,0,0,17572,1668,1,1,1,important
2,4,0.166667,0.235294,0.603199,0.930462,0.346574,0.346574,0.000273,0.002709,0,0.243974,0,1,3935,648,1,6,2,important
4,17,0.181818,0.377778,0.415281,1.496316,0.346574,0.223415,0.001175,0.002427,0.080841,0.152928,0,0,9497,1626,1,4,1,important
3,72,0.230769,0.327273,-0.158766,2.653404,0.318257,0.210248,0.000469,0.005282,0,0.268501,0,0,12646,1602,1,11,1,important
11,7,0.392857,0.5,-0.254889,-1.072758,0.310171,0.318567,0.000536,0.000303,0,0,0,0,51047,3264,1,2,2,important
3,1,0.25,0.2,0.218015,-1.246482,0.318257,0,0.001375,0.000204,0.114244,0,1,1,8676,1548,1,6,1,important
20,6,0.273973,0.214286,1.05802,-0.511837,0.25363,0.289188,0.003356,0.001409,0.194013,0.006587,0,0,24970,1226,1,1,2,important
3,62,0.25,0.278027,-0.264047,2.398591,0.318257,0.151669,0.000618,0.007369,0,0.298755,0,0,14050,2168,1,1,1,important
28,3,0.142857,0.25,0.640367,-1.959109,0.240058,0.366204,0.002189,0.000524,0.117045,0,1,1,53080,3150,1,1,4,important
3,24,0.272727,0.375,-1.585148,0.128409,0.318257,0.240688,0.000185,0.000915,0,0,0,0,52653,5280,0,2,2,important
4,4,0.173913,0.16,-0.499133,-0.865018,0.346574,0.346574,0.001151,0.000331,0.04747,0,0,0,23698,2497,1,4,14,important
20,4,0.133333,0.190476,0.96782,-1.007502,0.225412,0.281168,0.007941,0.000756,0.324855,0,1,1,27327,2469,1,2,2,important
14,8,0.148936,0.242424,-1.494615,?,0.238311,0.346574,0.000965,0.000262,0,0,0,1,224446,7818,1,1,2,important
5,5,0.16129,0.625,1.649,1.283115,0.336506,0.35164,0.001061,0.000442,0.132799,0,0,0,3457,889,1,6,5,important
1,154,0.142857,0.288931,-2.225204,2.445864,0,0.175708,0.000374,0.009233,0,0.296166,0,0,33287,2161,1,10,1,important
19,4,0.113095,0.181818,2.565603,0.641574,0.238351,0.346574,0.007036,0.000366,0.39331,0,1,1,5253,959,1,1,1,important
24,2,0.307692,0.25,3.290812,0.440021,0.189095,0.346574,0.006901,0.000194,0.404513,0,0,0,3213,763,1,1,3,important
2,13,0.285714,0.282609,-0.338038,1.16788,0.346574,0.352635,0.000305,0.001362,0,0.05092,0,0,10086,2740,1,10,4,important
22,557,0.186441,0.420377,0.75228,3.617919,0.341348,0.047406,0.002337,0.016871,0.124699,0.378808,0,0,37290,3495,1,1,1,important
243,1,0.127559,1,3.085922,-2.773024,0.166019,0,0.031375,0.000691,0.513302,0,0,0,39929,3116,1,1,19,important
10,93,0.16129,0.25,0.476527,2.340657,0.282624,0.226043,0.000745,0.008352,0,0.304777,0,0,22332,1554,1,2,1,important
1,142,0.333333,0.302128,-2.150437,2.439506,0,0.152002,0.000611,0.013022,0,0.360729,0,0,30889,1947,1,5,1,important
5,23,0.217391,0.442308,2.025246,3.185418,0.336506,0.17724,0.000605,0.004934,0.094801,0.346619,0,0,2373,399,1,13,1,important
8,38,0.2,0.426966,-0.058453,1.133807,0.288811,0.176735,0.001177,0.002595,0.03165,0.092855,0,0,30504,2562,1,1,4,important
8,2,0.170213,0.111111,1.682682,-0.069497,0.311916,0.346574,0.001165,0.000783,0.140465,0.06406,1,1,5348,966,1,2,4,important
10,78,0.15625,0.423913,-0.394082,1.294157,0.300958,0.219595,0.001112,0.002398,0.014927,0.065938,0,0,53337,4625,1,4,1,important
14,3,0.208955,0.230769,1.346332,-0.559998,0.285082,0.318257,0.003372,0.000408,0.225365,0,0,0,13101,1923,1,1,6,important
8,4,0.16,0.666667,1.072746,0.013714,0.360732,0.346574,0.001426,0.000305,0.103556,0,0,0,9842,2097,1,1,17,important
2,126,0.166667,0.31738,-1.138091,2.639159,0.346574,0.157441,0.000337,0.018898,0,0.427078,0,0,22448,2064,1,3,1,important
28,4,0.277228,0.333333,2.24342,-0.068374,0.23453,0.346574,0.003291,0.001023,0.233382,0.019046,0,0,10684,1144,1,1,2,important
163,3,0.463068,0.3,3.870885,-0.490138,0.158809,0.318257,0.007846,0.001465,0.346044,0.055041,0,0,12217,1846,1,1,2,important
1,272,1,0.29342,-1.029101,4.210817,0,0.150209,0.000167,0.03057,0,0.542954,0,0,10065,866,1,17,1,important
8,6,0.333333,0.461538,2.660275,2.006709,0.303252,0.346574,0.000793,0.000496,0.14618,0.076741,0,0,2012,585,1,3,3,important
10,221,0.526316,0.308659,-0.417266,2.312427,0.319964,0.166592,0.000392,0.012814,0,0.327053,0,0,54588,3114,1,2,1,important
5,4,0.15625,0.266667,0.942777,0.353749,0.333045,0.346574,0.003224,0.00104,0.27781,0.101191,0,0,7005,1278,1,1,2,important
19,83,0.169643,0.233146,1.5486,2.657117,0.278443,0.168221,0.003569,0.008142,0.254716,0.345814,0,0,14524,1223,1,1,1,important
116,15,0.168605,0.375,2.898668,0.487243,0.184835,0.284412,0.017436,0.001678,0.437147,0.036604,0,0,22986,2605,1,1,1,important
28,26,0.183007,0.412698,2.848979,2.408987,0.207159,0.108169,0.004234,0.002908,0.307458,0.229047,0,0,5831,873,1,3,1,important
6,13,0.428571,0.265306,0.996791,1.404097,0.289188,0.234289,0.000492,0.002303,0,0.164468,0,0,7964,774,1,2,1,important
2,158,0.166667,0.27768,-1.555806,2.447758,0,0.148215,0.000405,0.008281,0,0.27782,0,0,34087,2535,1,2,1,important
2,1,0.222222,0.2,0.652956,-0.406076,0,0,0.001151,0.00028,0.162568,0,1,1,3744,862,1,5,2,important
54,7,0.183673,0.162791,0.880479,-1.52848,0.210484,0.205058,0.003516,0.000833,0.18059,0,0,0,80517,4169,1,1,2,important
9,8,0.243243,0.5,-0.203836,-0.687504,0.318257,0.303252,0.000664,0.000502,0,0,0,0,39687,2352,1,3,2,important
3,395,0.375,0.375119,-0.67297,3.841419,0.366204,0.120889,0.00053,0.025611,0,0.475075,0,0,21148,1996,1,2,1,important
1,25,0.2,0.510204,0.240747,3.093738,0,0.203687,0.000431,0.00224,0.034276,0.231839,0,0,2827,668,1,1,1,important
10,5,0.138889,0.416667,1.469551,0.410519,0.292071,0.316757,0.002518,0.000464,0.223908,0,1,1,8273,1451,1,1,1,important
2,81,0.285714,0.245455,0.547114,3.882532,0.346574,0.190131,0.000125,0.015342,0,0.462947,0,0,4162,603,1,4,1,important
1,150,0.25,0.286807,-1.334875,3.309876,0,0.161642,0.000162,0.010855,0,0.383267,0,0,13665,1452,1,7,1,important
24,451,0.179104,0.304524,?,?,0.251981,0.108964,0.000406,0.003137,0,0.07414,0,0,318715,9142,0,1,1,important
2,12,0.285714,0.244898,-0.63953,0.786345,0.346574,0.327151,0.000307,0.001013,0,0.004872,0,0,13635,1890,1,5,1,important
12,8,0.162162,0.285714,-0.853079,-1.624428,0.306143,0.303252,0.001941,0.000427,0.086087,0,0,1,101286,4165,1,2,1,important
18,12,0.126761,0.20339,1.646368,0.875018,0.301461,0.270442,0.002687,0.000869,0.21024,0.003209,1,1,12478,1621,1,2,2,important
5,5,0.217391,0.263158,-0.764809,-1.130694,0.333045,0.316757,0.000528,0.000366,0,0,1,1,38637,2392,1,3,2,important
