@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
20,29,0.140845,0.29,0.330895,1.08204,0.198314,0.172328,0.003383,0.001059,0.181496,0.073419,0,0,51666,3270,1,1,1,important
7,5,0.088608,0.208333,1.974254,2.017363,0.319259,0.321888,0.014433,0.001456,0.490868,0.218501,0,0,3496,1003,1,4,1,important
1,21,1,0.192661,-1.704456,1.719648,0,0.265153,0.00083,0.003983,0.005604,0.274171,0,0,19775,1476,1,22,1,important
10,19,0.15625,0.452381,-0.394082,0.627353,0.300958,0.26592,0.001112,0.000363,0.014927,0,0,0,53337,4625,1,4,3,important
2,11,0.5,0.15493,-0.442,1.642329,0.346574,0.221394,0.000654,0.001158,0.006571,0.128552,0,0,11191,1506,1,6,8,important
9,55,0.140625,0.199275,-0.411874,1.777816,0.304591,0.296972,0.002096,0.003301,0.114781,0.231571,0,0,48865,3252,1,1,1,important
4,10,0.173913,0.285714,0.095173,1.391045,0.346574,0.300958,0.002125,0.001503,0.161779,0.151564,0,0,13080,2106,1,1,2,important
2,22,0.4,0.189655,-0.971329,1.806148,0.346574,0.253103,0.000423,0.001869,0,0.168349,0,1,19000,2486,1,11,1,important
13,15,0.171053,0.25,0.433864,0.956546,0.267535,0.285681,0.001545,0.002208,0.078836,0.181936,0,0,30297,2985,1,2,1,important
1,20,0.125,0.208333,-1.41945,1.955863,0,0.201953,0.000085,0.001769,0,0.179587,0,0,14871,1242,1,1,1,important
10,8,0.149254,0.121212,-0.474441,-0.318003,0.271847,0.346574,0.001209,0.000516,0.028786,0,0,0,57800,2904,1,1,3,important
3,23,0.5,0.196581,-1.66082,0.755643,0.318257,0.209452,0.000289,0.001755,0,0.141687,0,0,56792,3324,1,4,2,important
3,10,0.111111,0.3125,-0.411608,1.171946,0.366204,0.213011,0.000714,0.000922,0,0.079061,1,1,16284,1672,1,4,2,important
3,18,0.1875,0.236842,1.237542,3.408883,0.366204,0.253826,0.001489,0.003452,0.204709,0.33338,0,0,3130,876,1,8,1,important
3,4,0.107143,0.153846,0.166681,0.833944,0.318257,0.346574,0.002034,0.001089,0.17934,0.123352,0,0,9133,1266,1,7,11,important
10,77,0.208333,0.242902,-0.281398,2.139404,0.273903,0.034658,0.001471,0.004587,0.052896,0.27101,0,0,47653,4180,1,2,1,important
8,8,0.177778,0.210526,0.2941,0.673681,0.324772,0.245207,0.002437,0.000338,0.160276,0,0,0,21441,1829,1,2,2,important
1,45,0.111111,0.215311,0.238627,4.42487,0,0.084637,0.000141,0.013931,0,0.508144,0,0,2833,616,1,14,1,important
4,17,0.210526,0.226667,1.501545,3.328045,0.281168,0.28518,0.000544,0.009562,0.049675,0.457635,0,0,3205,875,1,3,1,important
3,81,0.25,0.232759,-0.620402,3.055016,0.318257,0.139449,0.000849,0.007674,0.016674,0.368553,0,1,20065,1998,1,1,1,important
2,64,0.5,0.333333,-0.430767,3.41455,0.346574,0.200507,0.000187,0.006187,0,0.358055,0,0,11066,1434,1,12,1,important
1,200,0.142857,0.281294,-1.923637,3.754262,0,0.175322,0.000227,0.015928,0,0.458178,0,0,24621,2118,1,1,1,important
1,22,0.111111,0.165414,-2.013018,1.457606,0,0.265086,0.00061,0.007958,0,0.354493,0,0,26923,1984,1,11,1,important
21,2,0.2,0.2,1.922236,-0.049558,0.290213,0,0.001767,0.000204,0.141386,0,0,0,11048,1625,1,1,1,important
9,12,0.109756,0.25,0.713829,1.381092,0.279498,0.299712,0.00449,0.001058,0.26746,0.100376,0,0,15853,1881,1,2,2,important
5,4,0.090909,0.25,0.127557,0.283995,0.35164,0.281168,0.00108,0.000802,0.067168,0.069088,1,1,15829,1817,1,2,1,important
2,31,0.333333,0.160622,-1.144795,1.975626,0.346574,0.228601,0.000696,0.003866,0,0.263444,0,0,22599,2362,1,4,2,important
15,24,0.10274,0.252632,1.066035,1.91562,0.235696,0.22658,0.002612,0.004624,0.195833,0.307709,1,1,18578,1942,1,1,1,important
26,8,0.125604,0.153846,1.826615,1.027541,0.271539,0.245207,0.003735,0.000569,0.245931,0.018803,1,1,15051,1843,1,1,11,important
17,19,0.082927,0.202128,0.442003,0.932809,0.319564,0.280092,0.001913,0.001172,0.10518,0.091971,1,1,39298,3072,1,1,1,important
7,2,0.137255,0.142857,2.753373,1.880191,0.309965,0,0.004152,0.000805,0.37751,0.197497,0,0,1604,513,1,1,1,important
9,1,0.105882,0.5,1.265512,-0.552131,0.318257,0,0.012312,0.000107,0.43194,0,1,1,9131,1505,1,1,1,important
12,3,0.125,0.15,0.267363,-0.739351,0.284826,0.318257,0.001854,0.000217,0.109095,0,0,0,33033,2229,1,3,1,important
5,3,0.15625,0.6,0.942777,0.811532,0.333045,0,0.003224,0.000175,0.27781,0,0,0,7005,1278,1,1,5,important
1,1,0.333333,0.5,0.898791,1.278372,0,0,0.001034,0.000268,0.215314,0.068736,1,1,1464,410,1,10,6,important
11,13,0.22449,0.541667,-0.753887,-0.207251,0.221394,0.178654,0.000755,0.000243,0,0,0,0,84078,5007,1,1,5,important
3,36,0.142857,0.238411,-1.748575,1.115913,0,0.218256,0.000262,0.001026,0,0.066828,0,0,62001,3210,1,6,3,important
11,3,0.196429,0.2,3.067006,2.147304,0.305488,0.318257,0.014402,0.000469,0.501997,0.096492,0,0,1842,374,1,3,3,important
116,1,0.168605,0.142857,2.898668,-1.475341,0.184835,0,0.017436,0.000052,0.437147,0,0,0,22986,2605,1,1,2,important
28,6,0.183007,0.206897,2.848979,1.688115,0.207159,0.332415,0.004234,0.000803,0.307458,0.108771,0,0,5831,873,1,3,5,important
4,6,0.285714,0.206897,1.789956,2.575002,0.346574,0.337135,0.003752,0.001302,0.323743,0.209935,0,0,2402,681,1,1,2,important
14,5,0.159091,0.227273,2.019603,1.369565,0.292002,0.333045,0.006688,0.002258,0.367163,0.242805,0,1,6682,1290,1,4,1,important
54,25,0.183673,0.221239,0.880479,0.489952,0.210484,0.265379,0.003516,0.001685,0.18059,0.133312,0,0,80517,4169,1,1,1,important
6,5,0.193548,0.111111,0.359547,0.556807,0.312142,0.321888,0.001425,0.000552,0.090118,0.006191,0,0,15062,2296,1,1,5,important
50,17,0.263158,0.209877,2.961004,2.261776,0.179243,0.329506,0.010335,0.002108,0.424581,0.220577,0,0,9309,1225,1,1,2,important
1,47,0.2,0.169065,-1.816519,2.41321,0,0.194516,0.000413,0.011267,0,0.4081,0,0,22120,1262,1,7,1,important
4,44,0.266667,0.176707,-0.798666,1.978811,0.346574,0.193161,0.000994,0.003405,0.009825,0.239015,0,0,31974,2703,1,7,2,important
1,85,0.071429,0.216285,-1.390108,3.432124,0,0.148461,0.000341,0.00781,0,0.382292,0,0,14441,1632,1,10,1,important
24,24,0.228571,0.218182,0.699728,1.079309,0.233338,0.186972,0.001761,0.001841,0.082761,0.147948,0,0,42875,4606,1,1,1,important
28,12,0.142857,0.171429,0.640367,0.172651,0.240058,0.284826,0.002189,0.00125,0.117045,0.096138,1,1,53080,3150,1,1,1,important
20,2,0.133333,0.333333,0.96782,-0.955184,0.225412,0.346574,0.007941,0.000222,0.324855,0,1,1,27327,2469,1,2,1,important
2,15,0.153846,0.254237,-2.39088,0.003604,0.346574,0.214294,0.000474,0.000579,0,0,0,1,78570,5182,1,1,1,important
1,11,0.142857,0.244444,-0.577272,2.200204,0,0.310171,0.000729,0.002765,0.063825,0.279403,0,0,6406,992,1,4,1,important
24,1,0.307692,0.5,3.290812,0.492339,0.189095,0,0.006901,0.000668,0.404513,0.129862,0,0,3213,763,1,1,3,important
12,22,0.162162,0.177419,-0.853079,0.132638,0.306143,0.290133,0.001941,0.001179,0.086087,0.080635,0,1,101286,4165,1,2,1,important
1,10,0.333333,0.208333,-0.033761,2.648406,0,0.319964,0.001711,0.002716,0.195553,0.28726,0,0,3720,814,1,17,6,important
6,23,0.2,0.181102,-0.444439,1.278877,0.312142,0.259047,0.000991,0.002261,0.009301,0.182871,0,0,33655,2803,1,1,1,important
18,2,0.136364,0.117647,1.115202,-0.702441,0.248991,0,0.004604,0.000594,0.25284,0.009577,0,0,21224,2199,1,1,2,important
243,1,0.127559,0.333333,3.085922,-2.027559,0.166019,0,0.031375,0.000366,0.513302,0,0,0,39929,3116,1,1,3,important
1,12,0.5,0.169014,-1.791109,1.073379,0,0.272105,0.000188,0.001098,0,0.087169,0,0,21565,2882,1,8,2,important
7,5,0.225806,0.5,-1.580718,-1.53761,0.265437,0.35164,0.000465,0.000116,0,0,0,0,122314,6157,1,2,2,important
5,141,0.138889,0.20858,-0.458712,3.260191,0.321888,0.127994,0.000855,0.007926,0,0.361382,0,0,28449,2700,1,1,2,important
1,15,0.142857,0.178571,-0.393576,2.694055,0,0.180031,0.000122,0.002933,0,0.287674,0,0,5331,936,1,5,1,important
10,2,0.25641,0.333333,-0.631104,-1.860961,0.235112,0,0.000481,0.000084,0,0,0,0,67603,4509,1,1,10,important
23,2,0.244681,0.666667,0.086805,-1.975961,0.316458,0,0.001058,0.000056,0,0,0,0,75842,4319,1,1,16,important
1,1,0.5,0.125,2.260792,2.640373,0,0,0.000192,0.00032,0.145148,0.198891,0,0,375,186,1,3,4,important
10,2,0.15625,0.181818,1.164494,-0.065363,0.294162,0,0.002354,0.000518,0.207637,0.026976,0,0,11224,1572,1,2,4,important
3,1,0.25,0.166667,1.333715,0.614684,0.318257,0,0.000573,0.000814,0.070502,0.140298,0,0,2843,947,1,2,11,important
1,9,0.111111,0.195652,-0.393013,2.183793,0,0.263516,0.000559,0.004677,0.011193,0.33905,0,0,5328,629,1,8,1,important
3,2,0.176471,0.125,0.823594,0.79771,0.366204,0.346574,0.001397,0.000344,0.161709,0.001526,0,0,4735,957,1,9,4,important
1,2,0.1,0.333333,0.220092,1.29282,0,0,0.000444,0.000213,0.047771,0,0,0,2886,721,1,10,6,important
1,2,0.2,0.4,-1.563608,-0.49088,0,0,0.00047,0.000334,0,0,0,0,17177,1993,1,3,8,important
4,6,0.153846,0.4,0.083015,0.868061,0.346574,0,0.001287,0.000419,0.079163,0,0,0,13240,2371,1,13,2,important
1,2,0.333333,0.333333,0.570942,1.643671,0,0.346574,0.000157,0.000932,0,0.180015,0,0,2032,513,1,3,5,important
1,2,0.111111,0.5,0.527133,1.599861,0,0,0.00016,0.00024,0,0.019706,0,0,2123,582,1,5,8,important
3,2,0.157895,0.133333,1.888769,1.862885,0.366204,0.346574,0.001173,0.000513,0.216424,0.130891,0,0,1632,474,1,6,4,important
2,6,0.090909,0.315789,-0.330275,1.147919,0.346574,0.337135,0.000651,0.000692,0.005616,0.057545,0,0,10008,1843,1,4,2,important
2,1,0.181818,0.2,0.921589,0.608023,0,0,0.001448,0.000207,0.19387,0,0,0,2862,695,1,3,12,important
8,3,0.2,0.1875,-0.058453,-0.659701,0.288811,0.366204,0.001177,0.000206,0.03165,0,0,0,30504,2562,1,1,2,important
1,1,0.25,0.25,1.095145,1.474726,0,0,0.000687,0.000267,0.166338,0.066868,0,0,1203,463,1,27,2,important
