@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
224,1,0.151659,0.333333,2.139828,-0.295001,0.177857,0,0.034291,0.000654,0.501203,0.038091,0,0,9968,1355,1,1,26,important
268,37,0.236958,0.282443,2.268222,3.26497,0.169195,0.166858,0.00839,0.006419,0.279102,0.349956,0,0,10489,1306,1,1,4,important
130,1,0.174029,0.333333,2.067326,0.176609,0.230823,0,0.0084,0.000438,0.336016,0.01234,0,0,6220,918,1,3,25,important
188,31,0.177191,0.344444,1.312642,2.487004,0.203887,0.340041,0.013422,0.002957,0.328022,0.230219,0,0,19132,1813,1,1,1,important
23,105,0.244681,0.319149,0.784794,5.280077,0.265537,0.172296,0.00085,0.025528,0.037327,0.579595,0,0,3968,981,1,1,1,important
28,5,0.233333,0.227273,1.713187,2.967237,0.199785,0.336506,0.001116,0.001158,0.189936,0.222907,0,0,1909,479,1,2,1,important
62,5,0.221429,0.192308,1.344279,1.803399,0.238287,0.336506,0.003214,0.000517,0.236315,0.059084,0,0,6113,727,1,1,4,important
28,9,0.152174,0.219512,0.805207,2.647044,0.276897,0.174416,0.000782,0.002401,0.066731,0.272021,0,0,4733,964,1,8,7,important
193,5,0.189961,0.131579,1.8562,1.179765,0.229436,0.316757,0.00969,0.001126,0.317593,0.116635,0,0,11405,1410,1,1,12,important
27,2,0.130435,0.666667,-0.399934,-0.025807,0.28222,0.346574,0.001579,0.000176,0,0,0,0,15231,1707,1,3,24,important
23,1,0.205357,1,0.086243,-0.072434,0.292845,0,0.000914,0.000278,0.012931,0,0,0,7979,971,1,4,7,important
42,2,0.111406,0.090909,0.736557,0.668852,0.307291,0.346574,0.003655,0.000659,0.199976,0.056952,0,1,7604,1061,1,1,9,important
12,36,0.151899,0.461538,-0.583338,3.492091,0.309171,0.290102,0.000865,0.003648,0,0.294125,0,0,8132,1409,1,2,13,important
30,6,0.191083,0.26087,0.986321,2.3537,0.272416,0.289188,0.000718,0.000718,0.047463,0.109396,0,0,4231,834,1,3,3,important
270,10,0.189873,0.172414,1.757971,1.438952,0.239074,0.271847,0.011515,0.000978,0.31334,0.080423,1,1,17602,1961,1,1,7,important
52,2,0.13941,0.5,0.00394,-0.27734,0.268807,0.346574,0.003664,0.000319,0.079911,0,0,0,19587,963,1,1,12,important
228,2,0.23676,0.285714,1.938083,0.178701,0.269164,0,0.01027,0.001419,0.294948,0.132172,0,0,12414,1060,1,2,8,important
11,1,0.196429,0.083333,0.119831,0.698753,0.310171,0,0.000371,0.000188,0,0,0,0,3690,739,1,4,22,important
17,3,0.2125,1,0.986557,2.228773,0.223708,0.318257,0.002204,0.00022,0.253557,0.006471,0,0,2397,403,1,4,34,important
272,4,0.174247,0.181818,3.131511,1.888821,0.114929,0,0.008702,0.001689,0.348984,0.206345,0,0,4490,783,1,1,3,important
28,1,0.146597,0.5,0.666907,0.31152,0.334714,0,0.003082,0.000579,0.193847,0.050221,0,0,5435,713,1,2,1,important
11,11,0.478261,0.333333,2.248713,5.22553,0.231918,0,0.000214,0.003659,0.139214,0.434697,0,0,439,124,1,9,13,important
13,1,0.19403,0.5,0.140195,0.552063,0.278599,0,0.000636,0.000537,0.030649,0.070586,0,1,4273,754,1,1,14,unimportant
24,2,0.126316,0.25,0.432869,0.92478,0.211002,0,0.005972,0.000522,0.269082,0.02336,0,0,5887,678,1,3,23,unimportant
13,2,0.216667,0.117647,-0.794231,0.310784,0.312991,0,0.000458,0.000263,0,0,0,0,10878,1311,1,1,8,unimportant
1156,18,0.157751,0.122449,3.153811,0.750204,0.111052,0.319333,0.032634,0.002194,0.399004,0.157259,0,0,63089,3587,1,1,1,unimportant
13,30,0.191176,0.326087,-0.902263,2.910802,0.333139,0.134518,0.000875,0.003832,0,0.26383,0,0,12119,2082,1,1,1,unimportant
17,8,0.171717,0.4,-1.150043,1.073003,0.280446,0.330782,0.000522,0.00037,0,0,0,0,20304,1892,1,1,9,unimportant
15,7,0.170455,0.2,1.20911,3.423787,0.36173,0.205058,0.002159,0.003047,0.246681,0.325674,0,0,1693,504,1,1,5,unimportant
102,146,0.3,0.278626,2.200219,5.53567,0.172234,0.205572,0.002712,0.05319,0.207636,0.674784,0,0,4273,879,1,1,1,unimportant
30,4,0.113208,0.166667,?,0.198593,0.249127,0,0.001828,0.000181,0,0,0,0,24339,1645,1,2,10,unimportant
23,5,0.14557,0.25,?,0.1864,0.237427,0.35164,0.000984,0.000656,0,0.006415,0,1,30797,2337,1,3,8,unimportant
669,2,0.182837,0.181818,2.855549,0.019729,0.079004,0.346574,0.016831,0.000507,0.351233,0,0,0,14553,2156,1,1,14,unimportant
24,2,0.138728,0.133333,-0.270334,0.221576,0.295785,0.346574,0.002495,0.000425,0.103668,0,0,0,11893,1574,1,1,14,unimportant
18,2,0.197802,0.285714,-0.496729,0.282863,0.309874,0,0.000536,0.000888,0,0.082343,1,1,11186,1356,1,2,9,unimportant
521,7,0.136817,0.159091,2.564871,-0.137098,0.199867,0.319259,0.018945,0.001412,0.298052,0.097652,0,0,59584,3610,1,1,14,unimportant
142,3,0.165888,0.333333,2.782822,1.902424,0.220682,0,0.010681,0.000382,0.415298,0.038205,0,0,3322,600,1,1,1,unimportant
14,1,0.14,0.2,1.155594,1.493353,0.25979,0,0.000461,0.000222,0.065853,0.010426,0,0,1667,402,1,2,3,unimportant
34,127,0.195402,0.368116,0.131689,4.426333,0.255579,0.170835,0.001039,0.016373,0,0.48105,0,0,11271,1383,1,5,1,unimportant
11,2,0.123596,0.285714,-1.32021,-0.048141,0.273342,0.346574,0.001174,0.00023,0,0,0,0,15575,1727,1,3,5,unimportant
15,12,0.238095,0.6,?,1.263553,0.265634,0.319872,0.000403,0.000514,0,0,0,0,25172,1888,1,2,8,unimportant
