@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
20,8,0.140845,0.16,0.330895,-0.957857,0.198314,0.298835,0.003383,0.00094,0.181496,0,0,0,51666,3270,1,1,1,important
13,2,0.309524,0.285714,1.505128,-0.739136,0.275564,0.346574,0.001522,0.000501,0.109335,0,0,0,10379,1951,1,1,8,important
14,1,0.212121,0.25,1.764123,-1.247395,0.259272,0,0.002605,0.000078,0.220576,0,0,0,8627,1448,1,2,7,important
9,10,0.140625,0.166667,-0.411874,-0.678975,0.304591,0.272225,0.002096,0.002165,0.114781,0.072306,0,0,48865,3252,1,1,5,important
6,2,0.075949,0.153846,0.560336,-0.910737,0.332415,0,0.001368,0.000243,0.13125,0,1,1,12322,1192,1,5,7,important
2,24,0.125,0.222222,0.673191,2.785636,0,0.224135,0.00013,0.00324,0,0.261225,0,0,3669,937,1,2,1,important
7,4,0.2,0.4,0.693129,-0.238948,0.318567,0.346574,0.000719,0.000538,0,0,0,0,12588,2594,1,2,2,important
3,30,0.111111,0.227273,-0.411608,1.518516,0.366204,0.216661,0.000714,0.00292,0,0.172658,1,1,16284,1672,1,4,1,important
10,252,0.208333,0.232044,-0.281398,2.572985,0.273903,0.1356,0.001471,0.009972,0.052896,0.29868,0,0,47653,4180,1,2,1,important
2,191,0.2,0.317276,0.946352,5.133017,0.346574,0.128415,0.000478,0.023775,0.085927,0.555021,0,0,2792,381,1,2,1,important
5,2,0.090909,0.181818,0.127557,-1.161195,0.35164,0.346574,0.00108,0.000135,0.067168,0,1,1,15829,1817,1,2,10,important
10,6,0.243902,0.6,0.897153,0.013866,0.343218,0.289188,0.001149,0.000975,0.053929,0,0,0,14664,1965,1,1,4,important
4,7,0.190476,0.155556,-0.523437,-0.336282,0.281168,0.265437,0.000662,0.001578,0,0.05029,1,1,24281,1709,1,2,2,important
5,12,0.138889,0.210526,-0.140781,0.362226,0.316757,0.188695,0.000521,0.001247,0,0.017041,1,1,20701,1965,1,5,1,important
15,3,0.10274,0.25,1.066035,-0.915864,0.235696,0,0.002612,0.000398,0.195833,0,1,1,18578,1942,1,1,2,important
26,13,0.125604,0.126214,1.826615,0.761007,0.271539,0.198433,0.003735,0.002337,0.245931,0.149706,1,1,15051,1843,1,1,1,important
17,29,0.082927,0.15847,0.442003,0.603624,0.319564,0.190608,0.001913,0.002259,0.10518,0.084994,1,1,39298,3072,1,1,1,important
387,5,0.171012,0.217391,2.408327,?,0.142149,0,0.00217,0.00033,0.09278,0,0,0,635977,8810,1,1,1,important
15,8,0.176471,0.235294,-0.931186,-1.932256,0.302481,0,0.000616,0.000189,0,0,0,0,136893,5207,1,1,2,important
2,26,0.066667,0.45614,-1.656364,0.536124,0.346574,0.204826,0.00022,0.002033,0,0.064052,0,0,37693,1647,1,1,3,important
40,1,0.151515,0.333333,1.69117,-2.370171,0.221173,0,0.008469,0.000084,0.332219,0,0,0,26514,2903,1,1,11,important
15,2,0.197368,0.222222,-0.656435,-3.0438,0.298873,0,0.001057,0.000059,0,0,0,0,104006,4673,1,1,3,important
3,27,0.125,0.341772,-3.00146,?,0.366204,0.226056,0.000234,0.000402,0,0,0,0,217030,6381,0,12,1,important
27,3,0.247706,0.375,2.607988,0.038303,0.272417,0,0.003603,0.000234,0.2682,0,0,0,7155,1388,1,1,5,important
21,9,0.168,0.5,1.372026,0.152267,0.256514,0.264853,0.00822,0.000541,0.344249,0,0,0,19153,2509,1,1,6,important
11,73,0.392857,0.277567,-0.254889,1.265214,0.310171,0.155289,0.000536,0.002553,0,0.084999,0,0,51047,3264,1,2,1,important
28,137,0.142857,0.217116,0.640367,1.855682,0.240058,0.17215,0.002189,0.007646,0.117045,0.265287,1,1,53080,3150,1,1,1,important
3,13,0.272727,0.295455,-1.585148,-0.491272,0.318257,0.263423,0.000185,0.000738,0,0,0,0,52653,5280,0,2,1,important
20,6,0.133333,0.461538,0.96782,-0.608614,0.225412,0.318257,0.007941,0.00035,0.324855,0,1,1,27327,2469,1,2,19,important
197,4,0.152241,0.166667,2.045495,-2.223875,0.243553,0,0.008947,0.000667,0.312741,0,0,0,91622,4593,1,1,2,important
14,24,0.148936,0.134831,-1.494615,?,0.238311,0.235957,0.000965,0.000445,0,0,0,1,224446,7818,1,1,1,important
2,8,0.285714,0.210526,-0.338038,0.675795,0.346574,0.245207,0.000305,0.000941,0,0.00113,0,0,10086,2740,1,10,1,important
22,13,0.186441,0.5,0.75228,-0.146274,0.341348,0.299379,0.002337,0.000421,0.124699,0,0,0,37290,3495,1,1,4,important
243,3,0.127559,0.2,3.085922,-1.680989,0.166019,0.318257,0.031375,0.000305,0.513302,0,0,0,39929,3116,1,1,1,important
1,93,0.333333,0.279279,-3.646733,0.513406,0,0.151789,0.000143,0.001737,0,0.004266,0,0,137923,5702,1,1,1,important
1,362,0.142857,0.281056,-0.920368,4.598815,0,0.091292,0.000277,0.124825,0,0.751271,0,0,9028,1275,1,10,1,important
1,1,0.111111,0.2,0.183353,-0.189109,0,0,0.00068,0.000345,0.159423,0.072927,1,1,2994,552,1,7,6,important
8,8,0.2,0.363636,-0.058453,-0.430915,0.288811,0.313871,0.001177,0.00048,0.03165,0,0,0,30504,2562,1,1,1,important
1,2,0.111111,0.25,-0.964039,-0.643353,0,0,0.000411,0.000319,0,0,1,1,9431,1193,1,2,1,important
1,106,0.058824,0.280423,0.169093,4.460071,0,0.130951,0.000624,0.011295,0.110262,0.459916,0,0,3037,399,1,5,1,important
5,48,0.185185,0.275862,-1.750055,0.139247,0.333045,0.14567,0.000221,0.001212,0,0,0,0,103488,4618,1,8,1,important
21,39,0.2,0.367925,1.922236,2.168814,0.290213,0.159941,0.001767,0.002794,0.141386,0.183171,0,0,11048,1625,1,1,1,important
9,20,0.169811,0.178571,0.64751,1.073556,0.304591,0.179846,0.001097,0.001491,0.040529,0.045089,0,0,16940,2371,1,1,1,important
9,1,0.105882,1,1.265512,-1.304173,0.318257,0,0.012312,0.00014,0.43194,0,1,1,9131,1505,1,1,26,important
116,3,0.168605,0.214286,2.898668,-1.128771,0.184835,0.318257,0.017436,0.000456,0.437147,0,0,0,22986,2605,1,1,2,important
28,1,0.183007,0.333333,2.848979,-0.855687,0.207159,0,0.004234,0.00009,0.307458,0,0,0,5831,873,1,3,9,important
16,3,0.25,0.25,2.096833,0.050395,0.234306,0.318257,0.001684,0.000341,0.169179,0,1,1,7069,1296,1,1,2,important
54,15,0.183673,0.194805,0.880479,-0.772916,0.210484,0.323372,0.003516,0.000414,0.18059,0,0,0,80517,4169,1,1,4,important
1,1,0.076923,0.111111,1.096808,0.724347,0,0,0.000362,0.00012,0.130609,0.004019,1,1,1201,405,1,5,4,important
8,58,0.166667,0.285714,2.001252,3.609793,0.330782,0.180027,0.001083,0.016134,0.140117,0.482328,0,0,3889,958,1,1,1,important
10,2,0.138889,0.25,1.469551,-0.512348,0.292071,0,0.002518,0.000418,0.223908,0,1,1,8273,1451,1,1,3,important
12,6,0.196721,0.461538,1.569647,0.504039,0.246854,0.318257,0.002867,0.000864,0.209987,0,0,0,8982,2306,1,3,8,important
134,1,0.249534,0.2,4.074889,-1.195412,0.135279,0,0.024327,0.000158,0.548298,0,0,0,8190,1254,1,1,1,important
12,64,0.162162,0.182336,-0.853079,0.448437,0.306143,0.177172,0.001941,0.003964,0.086087,0.140919,0,1,101286,4165,1,2,1,important
3,5,0.096774,0.135135,0.488933,0.627298,0.318257,0.316757,0.000409,0.000394,0.012403,0,1,1,6617,994,1,3,3,important
18,6,0.126761,0.352941,1.646368,0.175294,0.301461,0.318257,0.002687,0.001215,0.21024,0.061963,1,1,12478,1621,1,2,9,important
5,10,0.217391,0.149254,-0.764809,-0.444123,0.333045,0.213011,0.000528,0.000677,0,0,1,1,38637,2392,1,3,1,important
2,1,0.1,0.166667,0.384283,-0.681325,0.346574,0,0.001238,0.000198,0.161319,0,1,1,4898,814,1,9,12,important
1,10,0.142857,0.25641,-2.39985,-0.469727,0,0.298387,0.00009,0.00072,0,0,0,0,39639,3063,0,9,6,important
1,235,0.076923,0.307995,-0.218543,4.868581,0,0.051836,0.000384,0.024494,0,0.532271,0,0,4475,625,1,6,1,important
10,3,0.25641,0.5,-0.631104,-2.207538,0.235112,0.318257,0.000481,0.00019,0,0,0,0,67603,4509,1,1,5,important
1,1,0.333333,0.333333,0.393307,0.020846,0,0,0.000145,0.000206,0,0,0,0,2427,618,1,18,24,important
