@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
7,110,0.155556,0.25641,3.257352,2.004909,0.309965,0.186716,0.003048,0.013838,0.460775,0.40017,0,0,18465,2009,1,1,1,important
15,774,0.180723,0.355699,5.023311,4.95982,0.242478,0.058159,0.009643,0.072688,0.569497,0.669661,0,0,6767,782,1,1,1,important
44,148,0.181818,0.210826,6.950252,4.156262,0.118586,0.09472,0.025875,0.031763,0.661551,0.573915,0,0,2890,347,1,1,1,important
6,8,0.3,0.307692,7.64363,3.924299,0.346574,0,0.013575,0.001577,0.648168,0.380389,0,0,197,72,1,2,20,important
20,445,0.169492,0.315603,4.350164,3.445494,0.241043,0.074098,0.003239,0.03652,0.466391,0.549822,0,0,17688,2066,1,1,1,important
3,240,0.1875,0.521739,4.178528,4.553542,0.318257,0.114306,0.004692,0.03045,0.504658,0.57026,1,1,3150,514,1,1,1,important
1,18,0.125,0.159292,2.861227,1.744586,0,0.269808,0.00043,0.003286,0.281581,0.272783,0,0,3920,727,1,11,1,important
1,7,0.125,0.127273,1.999565,-0.061538,0,0.319259,0.000216,0.001885,0.215744,0.144495,0,0,9279,1367,1,11,1,important
1,76,0.166667,0.296875,2.083495,2.407215,0,0.18305,0.000704,0.007795,0.325251,0.341899,0,0,8532,1202,1,5,1,important
1,32,0.125,0.242424,3.417723,2.876446,0,0.221534,0.002311,0.003828,0.441208,0.334128,0,0,2247,532,1,12,1,important
5,10,0.135135,0.30303,5.36488,2.051014,0.333045,0.346574,0.004744,0.001029,0.509624,0.192811,0,0,1603,426,1,1,13,important
2,6,0.333333,0.272727,2.999434,0.091033,0,0.337135,0.000546,0.001055,0.30238,0.080795,1,1,6828,871,1,9,1,unimportant
1,1,0.2,0.2,1.751369,-2.255644,0,0,0.000126,0.00006,0.164741,0,0,0,11893,1524,1,5,1,unimportant
1,12,0.1,0.272727,1.530936,0.00883,0,0.284826,0.000105,0.001101,0.147439,0.00537,0,1,14826,2051,1,2,6,unimportant
3,7,0.107143,0.333333,1.632263,-1.527452,0.318257,0.318567,0.000494,0.000841,0.291147,0,0,0,40192,2166,1,1,1,unimportant
1,29,0.125,0.287129,2.728589,2.088872,0,0.074997,0.000292,0.005574,0.244421,0.319051,0,0,4476,929,1,10,1,unimportant
6,46,0.146341,0.328571,2.225974,0.255843,0.337135,0.078184,0.000378,0.006121,0.266028,0.215039,0,0,44394,4699,1,2,1,unimportant
1,42,0.125,0.347107,1.98268,1.713337,0,0.183735,0.000179,0.004444,0.197953,0.258786,0,0,9437,1367,1,3,1,unimportant
2,4,0.222222,0.333333,3.338399,0.024533,0.346574,0.281168,0.000483,0.001094,0.290732,0.07493,0,0,4865,1179,1,2,1,unimportant
1,7,0.2,0.225806,1.061042,-1.00006,0,0,0.000071,0.003743,0.110353,0.174839,0,0,23719,1975,1,10,1,unimportant
1,1,0.25,0.166667,3.364429,-0.642584,0,0,0.00062,0.001071,0.317456,0.158733,0,0,2370,502,1,3,5,unimportant
1,1,0.25,0.5,3.957291,-0.049721,0,0,0.004071,0.000106,0.499376,0,0,0,1310,260,1,11,1,unimportant
1,38,0.5,0.38,1.992584,1.623158,0,0.197991,0.000834,0.005131,0.340664,0.267958,0,0,9344,1909,1,1,1,unimportant
1,5,0.071429,0.263158,3.605667,1.208093,0,0.316757,0.001384,0.002876,0.392805,0.291145,0,0,1862,690,1,11,3,unimportant
3,16,0.375,0.380952,3.437196,1.10416,0.366204,0.278348,0.000919,0.005404,0.350488,0.300969,0,0,6611,898,1,1,2,unimportant
1,9,0.25,0.160714,3.096885,1.287096,0,0.174416,0.000472,0.001114,0.290686,0.138514,0,1,3097,563,1,11,3,unimportant
1,2,0.071429,0.333333,2.800122,-0.513743,0,0,0.000392,0.000178,0.272604,0,0,0,4167,880,1,13,15,unimportant
1,14,0.111111,0.325581,1.64877,0.280814,0,0.286551,0.000118,0.008182,0.158539,0.335418,0,0,13178,1625,1,6,1,unimportant
1,4,0.125,0.181818,3.956528,1.33581,0,0,0.008861,0.000635,0.570445,0.163483,0,0,1311,494,1,15,6,unimportant
7,5,0.12963,0.217391,3.171166,-1.172319,0.318567,0,0.001239,0.002227,0.376962,0.096918,0,0,20127,1891,1,1,9,unimportant
1,4,1,0.571429,3.164679,0.543961,0,0.281168,0.000902,0.001933,0.350728,0.206596,0,0,2894,470,1,2,1,unimportant
1,11,0.111111,0.180328,2.515866,0.906748,0,0.152318,0.000274,0.001057,0.238276,0.081449,0,0,5537,805,1,8,3,unimportant
2,431,0.08,0.348988,0.222452,1.5884,0.346574,0.154924,0.000039,0.013491,0.055105,0.319704,0,0,109729,4949,0,6,1,unimportant
2,235,0.133333,0.288344,0.742439,1.501865,0.346574,0.095569,0.000173,0.006529,0.193263,0.21407,0,0,65237,5290,1,1,1,unimportant
1,71,0.25,0.293388,2.920609,3.176276,0,0.20899,0.000395,0.011013,0.273288,0.427585,0,0,3694,663,1,11,1,unimportant
3,27,0.103448,0.284211,-0.503153,?,0.318257,0,0.000055,0.001489,0.086964,0,0,0,340047,7377,1,1,1,unimportant
