@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
10,2,0.15625,0.2,1.164494,-0.198612,0.294162,0.346574,0.002354,0.000315,0.207637,0,0,0,11224,1572,1,2,10,important
13,3,0.565217,0.272727,3.291602,2.071597,0.260775,0.366204,0.001088,0.001951,0.177929,0.252514,0,0,1739,556,1,1,12,important
20,21,0.140845,0.122093,0.330895,0.626018,0.198314,0.167016,0.003383,0.001062,0.181496,0.017221,0,0,51666,3270,1,1,1,important
13,9,0.309524,0.219512,1.505128,1.383735,0.275564,0.227913,0.001522,0.001477,0.109335,0.109285,0,0,10379,1951,1,1,3,important
8,24,0.2,0.269663,-0.058453,1.286491,0.288811,0.252495,0.001177,0.00192,0.03165,0.110018,0,0,30504,2562,1,1,2,important
1,238,0.166667,0.397329,-1.234098,4.484505,0,0.061474,0.00037,0.022847,0,0.506222,0,0,12355,1626,1,6,1,important
1,96,1,0.380952,-1.896047,2.914633,0,0.111781,0.00043,0.012409,0,0.391497,0,0,23951,1744,1,7,1,important
10,55,0.15625,0.291005,-0.394082,1.556998,0.300958,0.128986,0.001112,0.002158,0.014927,0.119277,0,0,53337,4625,1,4,1,important
9,19,0.140625,0.19,-0.411874,0.581673,0.304591,0.220193,0.002096,0.000896,0.114781,0,0,0,48865,3252,1,1,1,important
2,6,0.666667,0.2,-0.750682,0.594262,0.346574,0.289188,0.000856,0.000557,0.026289,0,0,0,15238,1715,1,1,8,important
33,6,0.212903,0.5,0.238092,-1.220324,0.22039,0.337135,0.001167,0.000262,0.00972,0,0,0,93539,6218,1,1,7,important
13,6,0.171053,0.176471,0.433864,-0.092994,0.267535,0.289188,0.001545,0.001058,0.078836,0.029154,0,0,30297,2985,1,2,3,important
7,3,0.2,0.1875,0.693129,0.092164,0.318567,0.366204,0.000719,0.00044,0,0,0,0,12588,2594,1,2,2,important
10,3,0.188679,0.6,1.804719,0.847078,0.245506,0.318257,0.001215,0.000341,0.120254,0,0,0,5917,1036,1,1,17,important
2,17,0.2,0.404762,0.539694,2.926092,0.346574,0.262602,0.000236,0.002564,0,0.238225,0,0,4193,1249,1,1,2,important
1,8,0.142857,0.210526,-1.11993,1.205843,0,0.303252,0.000104,0.0015,0,0.14742,0,1,11022,1214,1,4,4,important
3,1,0.125,0.166667,0.047306,-0.804975,0.318257,0,0.002132,0.000349,0.170473,0,1,1,10291,1623,1,7,3,important
2,49,0.142857,0.189189,0.326569,3.771574,0,0.148711,0.000885,0.009783,0.098428,0.429812,0,1,5189,891,1,4,2,important
7,24,0.318182,0.218182,0.958604,2.43708,0.205058,0.197965,0.000835,0.002655,0.029711,0.204085,0,0,9653,1102,1,1,2,important
21,2,0.2,0.166667,1.922236,-0.182807,0.290213,0,0.001767,0.000516,0.141386,0,0,0,11048,1625,1,1,22,important
10,16,0.243902,0.253968,0.897153,1.613488,0.343218,0.232037,0.001149,0.0013,0.053929,0.077359,0,0,14664,1965,1,1,1,important
3,27,0.214286,0.177632,0.680943,3.1245,0.318257,0.233476,0.000535,0.010957,0.043175,0.449421,0,0,5461,647,1,3,1,important
7,3,0.241379,0.5,0.977216,0.376251,0.291311,0,0.001476,0.000419,0.111977,0,0,0,9475,2159,1,1,6,important
2,22,0.285714,0.44,0.328691,2.972919,0.346574,0.361454,0.000236,0.003175,0,0.268179,0,0,5178,1072,1,1,1,important
180,2,0.218447,0.166667,3.503942,-0.749535,0.089959,0,0.020712,0.000176,0.473084,0,0,0,19472,2717,1,1,6,important
17,4,0.082927,0.117647,0.442003,-0.758584,0.319564,0.346574,0.001913,0.000443,0.10518,0,1,1,39298,3072,1,1,15,important
11,8,0.22449,0.421053,-0.753887,-0.826008,0.221394,0.300085,0.000755,0.000607,0,0,0,0,84078,5007,1,1,2,important
387,11,0.171012,0.478261,2.408327,?,0.142149,0,0.00217,0.000224,0.09278,0,0,0,635977,8810,1,1,1,important
3,13,0.214286,0.590909,-0.450157,1.262512,0.318257,0.234289,0.002088,0.000709,0.148549,0,0,0,16924,2678,1,5,9,important
3,21,0.142857,0.161538,-1.748575,0.443667,0,0.218484,0.000262,0.002302,0,0.126871,0,0,62001,3210,1,6,1,important
1,13,0.25,0.240741,-1.851218,0.960064,0,0.299714,0.000416,0.001267,0,0.061849,0,0,22901,2505,1,3,3,important
40,1,0.151515,0.125,1.69117,-1.751378,0.221173,0,0.008469,0.000097,0.332219,0,0,0,26514,2903,1,1,5,important
3,119,0.125,0.316489,-3.00146,0.925383,0.366204,0.201442,0.000234,0.001278,0,0.025635,0,0,217030,6381,0,12,2,important
4,75,0.181818,0.358852,0.415281,3.592807,0.346574,0.212629,0.001175,0.021756,0.080841,0.510853,0,0,9497,1626,1,4,1,important
1,64,0.5,0.192192,0.139889,4.545104,0,0.24009,0.000605,0.017023,0.095299,0.51833,0,1,3127,468,1,8,1,important
6,5,0.428571,1,0.996791,1.060802,0.289188,0.250201,0.000492,0.000405,0,0,0,0,7964,774,1,2,19,important
2,15,0.166667,0.263158,-1.555806,0.705429,0,0.255009,0.000405,0.00149,0,0.071929,0,0,34087,2535,1,2,2,important
27,3,0.247706,0.230769,2.607988,0.657096,0.272417,0,0.003603,0.00041,0.2682,0,0,0,7155,1388,1,1,8,important
54,1,0.183673,1,0.880479,-2.862173,0.210484,0,0.003516,0.000187,0.18059,0,0,0,80517,4169,1,1,14,important
2,615,0.142857,0.296671,-2.007095,3.967713,0,0.073445,0.000357,0.024312,0,0.470962,0,1,53528,3347,1,5,1,important
21,4,0.168,0.571429,1.372026,-0.03987,0.256514,0.346574,0.00822,0.000259,0.344249,0,0,0,19153,2509,1,1,21,important
7,18,0.25,0.227848,1.378679,2.569473,0.318567,0.213702,0.001595,0.003733,0.154787,0.282172,0,0,6342,1119,1,4,1,important
50,1,0.263158,1,2.961004,-0.704686,0.179243,0,0.010335,0.000106,0.424581,0,0,0,9309,1225,1,1,32,important
1,38,0.166667,0.208791,-1.768125,2.115794,0,0.24068,0.000233,0.006146,0,0.299298,0,0,21075,2201,1,7,3,important
12,9,0.196721,0.310345,1.569647,1.528297,0.246854,0.312296,0.002867,0.00092,0.209987,0.04658,0,0,8982,2306,1,3,7,important
11,2,0.392857,0.285714,-0.254889,-1.713304,0.310171,0.346574,0.000536,0.000103,0,0,0,0,51047,3264,1,2,2,important
1,63,0.071429,0.428571,-1.92083,2.468637,0,0.205485,0.000149,0.003634,0,0.214014,0,0,24552,2422,1,4,1,important
24,4,0.228571,0.16,0.699728,-0.845699,0.233338,0.346574,0.001761,0.000658,0.082761,0,0,0,42875,4606,1,1,2,important
3,49,0.25,0.411765,-0.264047,2.775493,0.318257,0.180126,0.000618,0.00677,0,0.316868,0,0,14050,2168,1,1,1,important
28,21,0.142857,0.162791,0.640367,0.599017,0.240058,0.20516,0.002189,0.000901,0.117045,0,1,1,53080,3150,1,1,5,important
3,24,0.272727,0.311688,-1.585148,0.740626,0.318257,0.214209,0.000185,0.001398,0,0.051233,0,0,52653,5280,0,2,1,important
5,3,0.16129,0.25,1.007344,0.74285,0.35164,0.366204,0.001803,0.000309,0.166242,0,0,0,6567,1091,1,3,1,important
2,15,0.153846,0.263158,-2.39088,-0.129645,0.346574,0.23153,0.000474,0.000663,0,0,0,1,78570,5182,1,1,1,important
1,14,0.166667,0.411765,-2.095027,0.790362,0,0.292749,0.000326,0.001361,0,0.062027,0,0,29224,2897,1,6,2,important
14,3,0.358974,0.75,2.422527,1.128414,0.2718,0,0.00123,0.001401,0.138655,0.159793,0,0,4466,880,1,2,9,important
5,27,0.217391,0.238938,-0.764809,1.167922,0.333045,0.160162,0.000528,0.002487,0,0.156944,1,1,38637,2392,1,3,2,important
4,10,0.333333,0.3125,0.301167,1.46379,0.346574,0.294162,0.000768,0.002043,0.009036,0.157743,0,0,10645,1969,1,1,11,important
1,29,0.083333,0.243697,-1.81117,1.802458,0,0.220334,0.000162,0.004689,0,0.255565,0,0,22002,2739,1,1,1,important
1,51,0.1,0.191011,-2.059926,2.118232,0,0.206444,0.000093,0.008373,0,0.333155,0,0,28216,2527,1,5,1,important
10,41,0.16129,0.25,0.476527,2.133847,0.282624,0.220959,0.000745,0.004717,0,0.25558,0,0,22332,1554,1,2,1,important
1,1,0.1,1,0.176032,0.422364,0,0,0.000448,0.000312,0.052906,0.008446,0,0,3016,722,1,11,18,important
10,1,0.25641,0.333333,-0.631104,-2.687357,0.235112,0,0.000481,0.000242,0,0,0,0,67603,4509,1,1,2,important
23,8,0.244681,0.5,0.086805,-0.722915,0.316458,0,0.001058,0.00036,0,0,0,0,75842,4319,1,1,6,important
2,12,0.285714,0.315789,0.856658,2.89475,0.346574,0,0.000437,0.003045,0.040921,0.293577,0,0,3054,361,1,3,4,important
44,1,0.15493,0.2,0.976514,-2.561344,0.212929,0,0.003781,0.000137,0.194629,0,0,0,59599,3032,1,1,15,important
1,1,0.2,0.166667,-1.563608,-1.317276,0,0,0.00047,0.000956,0,0.02695,0,0,17177,1993,1,3,13,important
4,1,0.153846,0.111111,0.083015,-1.056947,0.346574,0,0.001287,0.000146,0.079163,0,0,0,13240,2371,1,13,29,important
2,3,0.153846,0.375,-1.62327,-0.971473,0.346574,0,0.000532,0.000231,0,0,0,0,36466,2431,1,1,6,important
1,4,0.333333,0.210526,-0.945633,0.686994,0,0.281168,0.000338,0.000693,0,0.008487,0,0,9259,1185,1,1,1,important
3,42,0.157895,0.428571,1.888769,4.774159,0.366204,0,0.001173,0.009752,0.216424,0.469055,0,0,1632,474,1,6,2,important
1,1,1,0.142857,0.662078,0.908411,0,0,0.000162,0.000169,0,0,0,0,1855,421,1,2,15,important
22,12,0.2,0.375,-0.294592,-0.654395,0.198518,0,0.000789,0.001252,0,0.027175,0,0,106229,5155,1,1,10,important
5,1,0.333333,0.5,-1.036387,-2.399493,0,0,0.000354,0.000051,0,0,0,0,50693,3104,1,1,40,important
5,1,0.142857,0.333333,0.166199,-1.196906,0.250201,0,0.001376,0.000234,0.0948,0,0,0,15229,1147,1,1,25,important
