@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
2,20,0.333333,0.47619,2.603836,3.369699,0.346574,0,0.005642,0.007912,0.514605,0.508506,0,0,427,131,1,1,1,important
1,25,0.111111,0.471698,1.529722,3.211875,0,0.336506,0.004264,0.010012,0.471947,0.513546,0,0,625,298,1,1,1,important
1,9,0.111111,0.45,1.797862,2.458365,0,0.318257,0.001248,0.003793,0.352064,0.420174,0,0,478,250,1,1,11,important
1,35,1,0.583333,1.263059,3.281685,0,0.262626,0.002791,0.012571,0.415729,0.53237,0,0,816,317,1,9,3,important
3,1,0.333333,1,4.450965,1.81563,0,0,0.005964,0.00096,0.542693,0.360484,0,0,101,52,1,1,5,important
1,18,0.5,0.5625,0.279476,1.633126,0,0.264853,0.000978,0.004986,0.273732,0.401592,1,1,2182,481,1,5,1,important
86,3,0.834951,0.375,5.770249,0.877791,0.031677,0,0.089704,0.003029,0.783326,0.371882,0,0,774,279,1,1,15,important
1,6,0.142857,0.75,3.062198,3.317236,0,0.289188,0.001894,0.002853,0.428566,0.450261,0,0,135,78,1,1,1,important
2,18,0.333333,0.473684,1.994937,2.655439,0.346574,0,0.016495,0.006669,0.613409,0.465939,0,0,785,274,1,1,1,important
2,3,1,0.6,4.383954,3.252697,0,0,0.004149,0.002915,0.518158,0.476334,0,0,72,49,1,3,4,important
1,1,1,0.5,3.179981,1.643259,0,0,0.007692,0.000476,0.561697,0.283839,0,0,120,69,1,27,25,important
1,9,0.333333,0.45,1.355432,2.015935,0,0,0.000958,0.004592,0.302254,0.420492,0,0,744,387,1,1,1,important
1,6,0.5,0.4,2.383977,2.639014,0,0,0.001513,0.003132,0.382227,0.421452,0,0,266,141,1,1,1,important
1,6,0.333333,0.857143,3.131191,3.386229,0,0.225281,0.003802,0.002854,0.494604,0.450736,0,0,126,71,1,13,5,important
