@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
6,265,0.171429,0.229041,0.208505,2.024162,0.310613,0.142953,0.000433,0.017361,0.010297,0.37117,0,0,32466,2811,1,1,1,important
5,132,0.227273,0.26087,-0.06169,1.239361,0.250201,0.176857,0.000553,0.006005,0.045581,0.195122,1,1,35448,2276,1,4,1,important
185,15,0.197439,0.283019,4.230708,-0.253911,0.19145,0.284412,0.023937,0.000929,0.534284,0,0,0,17932,1366,1,1,1,important
1,24,0.166667,0.212389,0.717054,1.922794,0,0.22298,0.000277,0.002248,0.034276,0.228966,0,0,3254,625,1,12,1,important
5,8,0.104167,0.307692,2.380474,0.878164,0,0.330782,0.004618,0.000553,0.395876,0.058471,0,0,3083,664,1,2,1,important
2,8,0.2,0.258065,1.328505,0.742486,0.346574,0.188385,0.001437,0.000581,0.230103,0.023858,0,1,3531,799,1,13,6,important
1,8,0.142857,0.210526,0.485465,0.592592,0,0.245207,0.000502,0.000676,0.09948,0.054044,0,0,4102,826,1,1,1,important
26,5,0.270833,0.454545,4.510029,0.889057,0.271272,0,0.012921,0.000425,0.528004,0.066334,0,0,1906,301,1,1,12,important
7,12,0.104478,0.196721,1.87406,0.440743,0.288435,0.332415,0.005081,0.000541,0.399114,0.026497,0,0,7162,678,1,1,1,important
16,93,0.313725,0.632653,3.319898,3.107595,0.225497,0.160941,0.004336,0.004127,0.367423,0.276653,0,0,3856,721,1,1,1,important
7,1,0.241379,1,3.313398,-0.604826,0.334747,0,0.003149,0.000237,0.361863,0.008002,0,0,1698,315,1,3,20,important
26,5,0.189781,0.25,3.61067,-0.010302,0.286179,0.35164,0.016756,0.000679,0.524835,0,0,0,4685,806,1,1,4,important
7,62,0.194444,0.24031,0.767244,0.976154,0.319259,0.214032,0.001118,0.002999,0.137731,0.080476,0,0,21663,2339,1,2,1,important
4,4,0.102564,0.210526,2.558588,0.586274,0.346574,0.281168,0.001689,0.000756,0.283544,0.137331,0,0,2064,347,1,2,13,important
13,2,0.146067,0.2,4.570588,0.726472,0.135595,0.346574,0.013339,0.000145,0.541829,0.000723,0,0,897,176,1,1,4,important
4,29,0.133333,0.337209,2.165473,2.17416,0.346574,0.238859,0.003007,0.003351,0.344131,0.294186,0,1,3058,406,1,1,2,important
2,39,0.2,0.192118,1.015654,2.013755,0.346574,0.225922,0.001183,0.002545,0.203801,0.218152,0,0,4828,913,1,2,2,important
2,40,0.222222,0.37037,1.159297,2.182715,0,0.217819,0.000198,0.0028,0,0.203899,0,1,4182,811,1,12,1,important
2,14,0.2,0.152174,1.036796,1.010392,0.346574,0.273808,0.000485,0.001524,0.091346,0.154566,0,1,4727,507,1,8,1,important
106,14,0.217213,0.264151,2.663246,-1.33345,0.22671,0.2718,0.009229,0.000756,0.400877,0,0,1,49261,3220,1,1,2,important
1,10,0.5,0.30303,0.936823,1.267094,0,0.346574,0.000586,0.000462,0.136589,0.040294,0,0,2612,593,1,3,23,important
11,114,0.22449,0.250549,1.615458,1.981448,0.200055,0.207422,0.002376,0.00721,0.241377,0.254535,0,0,14576,1709,1,2,1,important
2,1,0.071429,0.166667,1.539615,-1.125846,0,0,0.00131,0.00109,0.228465,0.125087,0,0,2859,318,1,2,20,important
2,17,0.133333,0.188889,1.582859,1.750611,0.346574,0.272752,0.002077,0.001669,0.296993,0.204559,0,0,2738,539,1,4,5,important
6,99,0.166667,0.263298,0.51127,1.342317,0.318257,0.192338,0.000442,0.006411,0.01713,0.208625,0,0,23985,2352,1,1,1,important
7,16,0.225806,0.666667,3.087197,1.941562,0.205058,0.229511,0.003104,0.000643,0.344611,0.072728,0,0,2129,564,1,2,3,unimportant
1,69,0.090909,0.303965,-1.331213,0.930579,0,0.261793,0.000283,0.007637,0,0.220175,0,0,25233,3161,1,2,1,unimportant
1,1,0.25,0.166667,0.173816,-1.798498,0,0,0.000994,0.000412,0.153562,0,0,0,5602,698,1,1,9,unimportant
