@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
1,1,0.333333,1,0.386523,-1.115016,0,0,0.000129,0.000308,0.032859,0,0,1,15142,1243,1,5,17,important
1,8,0.333333,0.32,-0.462603,0.1153,0,0.303252,0.000079,0.00077,0,0.053836,0,0,35396,3118,1,1,1,important
1,3,0.2,0.272727,-0.459717,-0.862644,0,0,0.000084,0.000387,0,0,0,0,35294,2928,1,28,9,important
2,5,0.5,0.833333,2.175184,1.589936,0.346574,0,0.000409,0.000905,0.172945,0.164108,0,0,5063,562,1,1,1,important
1,94,1,0.385246,1.776921,4.818677,0,0.251683,0.000326,0.016929,0.143813,0.539208,0,0,3770,845,1,1,1,important
10,6,0.434783,0.6,2.713441,0.701077,0.294162,0.337135,0.000866,0.000696,0.239409,0.064419,0,0,14778,1762,1,2,2,important
2,32,0.181818,0.347826,1.042018,2.313068,0.346574,0.216699,0.000548,0.003431,0.188963,0.273522,0,0,15723,2238,1,2,1,important
9,1,0.473684,1,3.847968,0.149205,0.282895,0,0.002408,0.000175,0.357725,0,0,0,4277,1161,1,1,38,unimportant
6,10,0.315789,0.384615,-1.000649,-1.991362,0.225281,0,0.000052,0.000308,0,0,0,0,363727,7558,1,3,2,unimportant
1,2,0.333333,0.25,0.76219,-0.046202,0,0.346574,0.000136,0.000321,0.038545,0,0,0,10400,1840,1,36,17,unimportant
1,2,0.25,1,0.750147,-0.058244,0,0,0.000118,0.001056,0.022932,0.118724,0,0,10526,2028,1,4,33,unimportant
3,2,0.428571,0.333333,-1.069843,-2.976847,0,0.346574,0.000078,0.00146,0,0.129403,0,0,194893,3867,1,4,15,unimportant
8,20,0.153846,0.253165,1.646544,1.061296,0.245207,0.201953,0.000818,0.002245,0.229621,0.199258,0,1,34360,2354,1,1,1,unimportant
1,2,0.2,1,1.92688,1.118489,0,0,0.000347,0.004966,0.151896,0.381663,0,0,3245,988,1,28,3,unimportant
2,1,0.333333,1,1.536422,-0.658264,0.346574,0,0.000643,0.000205,0.207269,0,0,0,9590,1212,1,1,1,unimportant
3,6,0.3,0.461538,3.774729,2.966338,0.318257,0.318257,0.002581,0.001418,0.387269,0.250564,0,0,1534,546,1,2,6,unimportant
1,1,0.166667,1,2.341789,0.84025,0,0,0.000502,0.000252,0.2008,0.015999,0,0,2143,669,1,3,18,unimportant
47,6,0.244792,0.24,3.726823,0.166896,0.247137,0.289188,0.003262,0.000911,0.381217,0.088589,1,1,25212,2083,1,1,1,unimportant
6,6,0.75,0.428571,0.646075,-0.855464,0,0.318257,0.000099,0.000401,0,0,0,0,70083,4292,1,1,7,unimportant
3,8,0.3,0.571429,0.890169,0.369459,0,0,0.000233,0.000896,0.092924,0.076097,0,0,27452,4129,0,18,3,unimportant
1,6,0.2,0.333333,3.020574,3.310795,0,0,0.0008,0.002484,0.270772,0.333027,0,0,1087,379,1,7,7,unimportant
3,9,0.75,0.642857,3.444141,3.041215,0,0.174416,0.001098,0.001581,0.288592,0.253228,0,0,2135,463,1,5,2,unimportant
1,1,0.1,0.333333,1.119002,-0.382537,0,0,0.000155,0.000475,0.054096,0.021812,0,0,7279,1527,1,9,27,unimportant
2,3,0.285714,0.6,2.425962,1.329888,0.346574,0,0.000562,0.000723,0.200591,0.109341,0,0,3940,1007,1,18,20,unimportant
5,3,0.384615,0.75,-0.223763,-2.236128,0,0,0.000096,0.00034,0,0,0,0,139379,3623,1,1,15,unimportant
2,5,0.5,0.2,1.11127,0.526022,0.346574,0,0.000114,0.00158,0.018301,0.171229,0,0,14671,1876,1,2,1,unimportant
5,1,0.833333,0.333333,2.401195,-0.709782,0.250201,0,0.000995,0.000599,0.254492,0.04451,0,0,10097,1459,1,5,1,unimportant
1,6,0.052632,0.12,-0.097938,0.192283,0,0.289188,0.00035,0.001044,0.139163,0.108598,0,0,24580,2156,1,2,1,unimportant
2,6,0.222222,0.1875,-1.146612,-1.549538,0,0.337135,0.000033,0.000097,0,0,0,0,140296,4983,1,15,4,unimportant
1,1,1,1,1.78144,0.279901,0,0,0.000306,0.000382,0.135982,0.029867,0,0,3753,865,1,36,46,unimportant
4,5,0.181818,0.217391,0.113389,-1.165006,0.346574,0,0.000058,0.00028,0,0,0,0,79591,4130,1,1,2,unimportant
1,1,0.5,1,-0.906986,-2.408524,0,0,0.000048,0.000366,0,0,0,0,55201,3356,1,21,12,unimportant
1,1,1,0.071429,0.641846,-0.859693,0,0,0.000109,0.00018,0.013848,0,0,0,11730,1905,1,36,1,unimportant
13,146,0.309524,0.310638,0.733033,1.650152,0.299379,0.121383,0.000246,0.001788,0.097174,0.157048,0,0,139200,7473,0,1,1,unimportant
5,1,0.125,0.125,1.517908,-1.593069,0.35164,0,0.000821,0.000065,0.231171,0,0,0,24423,2094,1,2,6,unimportant
1,1,0.25,0.333333,1.2256,-0.275939,0,0,0.000249,0.000167,0.110463,0,0,0,6543,530,1,23,41,unimportant
1,2,0.333333,0.1,0.485214,-0.323178,0,0.346574,0.0001,0.001249,0.003181,0.135896,0,0,13719,1567,1,2,2,unimportant
3,2,0.214286,0.666667,2.820071,0.913067,0.318257,0.346574,0.000603,0.000756,0.209343,0.120107,0,0,3985,882,1,1,4,unimportant
1,2,0.2,0.222222,0.510907,-0.297484,0,0.346574,0.000098,0.000493,0.001399,0.011199,0,0,13371,1437,1,3,1,unimportant
1,1,1,1,0.348998,-1.152541,0,0,0.000087,0.000074,0,0,0,0,15721,1480,1,22,42,unimportant
1,1,0.5,0.166667,1.153809,-0.34773,0,0,0.000244,0.000165,0.108063,0,0,0,7030,809,1,34,21,unimportant
2,5,0.285714,0.555556,1.00041,0.415162,0,0.35164,0.000262,0.00082,0.107787,0.076223,0,0,16391,1774,1,3,3,unimportant
1,1,1,1,1.888489,0.386951,0,0,0.000319,0.000587,0.141005,0.090255,0,0,3372,967,1,10,11,unimportant
2,3,0.333333,0.230769,1.11018,0.014106,0.346574,0.318257,0.000205,0.00034,0.081614,0,0,0,14687,1721,1,1,2,unimportant
1,1,1,0.25,1.054369,-0.44717,0,0,0.000469,0.000358,0.174355,0,0,0,7765,1129,1,22,20,unimportant
3,13,0.428571,0.240741,-0.333727,-0.368928,0.318257,0.299309,0.000032,0.000386,0,0,0,0,93348,4763,1,14,1,unimportant
