@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
4,2,0.307692,1,2.662488,2.481262,0.346574,0,0.00232,0.000487,0.340528,0.173472,0,0,824,376,1,1,1,important
1,4,0.5,1,1.935925,3.834141,0,0.346574,0.000893,0.007101,0.274309,0.499027,0,0,426,180,1,10,1,important
6,141,0.3,0.273256,-0.256288,3.412634,0.337135,0.118389,0.000827,0.015039,0.096585,0.488249,0,1,22889,2097,1,11,1,important
2,15,0.5,0.348837,0.744709,3.271534,0.346574,0.122465,0.000498,0.010743,0.097319,0.497232,0,0,2804,746,1,10,2,important
2,10,0.125,0.434783,0.0634,2.18476,0.346574,0.343218,0.002948,0.002849,0.310534,0.319858,0,1,5542,891,1,5,2,important
1,16,0.5,0.25,-0.799753,2.484757,0,0.293844,0.000342,0.006441,0.01641,0.409156,0,1,6569,994,1,15,2,important
37,6,0.246667,0.272727,2.602651,1.295414,0.232084,0.318257,0.010843,0.001397,0.453356,0.212429,0,0,8092,1266,1,1,3,important
3,43,0.2,0.377193,0.395479,3.569989,0,0.183358,0.000336,0.020904,0.01291,0.552846,0,0,5964,1031,1,1,1,important
6,1,0.24,0.25,3.184978,1.90514,0.289188,0,0.002201,0.000576,0.364382,0.227805,1,1,733,208,1,3,3,important
2,6,0.133333,0.2,-0.581507,1.029027,0.346574,0,0.00025,0.004584,0,0.355348,0,0,10562,1014,1,1,1,important
2,1,0.181818,0.25,2.643256,2.462031,0.346574,0,0.000475,0.000638,0.241568,0.274946,0,0,420,134,1,3,4,important
134,1,0.222591,0.166667,4.040413,-0.345505,0.155677,0,0.035332,0.00036,0.610744,0.049615,0,0,6959,1128,1,1,5,important
3,2,0.272727,0.285714,1.371625,1.478082,0.366204,0.346574,0.004412,0.001134,0.394212,0.245277,0,0,2247,486,1,6,8,important
7,2,0.5,0.285714,1.855418,1.114576,0.319259,0.346574,0.003347,0.000821,0.339156,0.175007,0,0,3232,634,1,2,4,important
1,4,0.333333,0.307692,-0.043295,1.854922,0,0.346574,0.001497,0.001441,0.240046,0.24878,0,0,3083,598,1,3,3,unimportant
11,53,0.305556,0.333333,-0.905926,1.178393,0.23707,0.171607,0.000437,0.00116,0.001156,0.162578,0,0,80353,6184,0,7,1,unimportant
1,3,0.090909,0.115385,-1.220876,0.389658,0,0.318257,0.000155,0.000679,0,0.126006,0,0,10009,1212,1,7,4,unimportant
1,4,0.166667,0.444444,0.084922,1.983138,0,0,0.000265,0.00155,0.023777,0.264194,0,0,2712,515,1,10,1,unimportant
6,1,0.181818,0.125,-1.695465,-2.975303,0.225281,0,0.000123,0.000296,0,0,0,0,96528,4453,1,2,13,unimportant
3,1,0.75,0.5,1.0212,0.434509,0,0,0.000718,0.000275,0.14031,0.039287,0,0,3190,672,1,10,2,unimportant
4,1,0.307692,0.5,3.156068,2.281695,0.346574,0,0.00177,0.00058,0.343023,0.23074,0,0,503,188,1,2,2,unimportant
1,1,0.333333,0.333333,-1.340511,-0.82859,0,0,0.000723,0.000129,0.096098,0,0,0,11281,1298,1,5,8,unimportant
1,2,0.066667,0.2,-2.380562,-1.175493,0,0.346574,0.000183,0.000329,0,0.011635,0,0,31918,2962,1,5,3,unimportant
13,1,0.19403,1,2.704041,0.651014,0.278599,0,0.013999,0.000756,0.53539,0.195289,0,0,2569,466,1,1,10,unimportant
11,3,0.211538,0.25,1.131703,0.344342,0.29213,0.318257,0.00163,0.000744,0.20006,0.127802,0,0,10473,1876,1,2,1,unimportant
4,1,0.666667,0.142857,1.27589,0.401517,0.281168,0,0.000724,0.000554,0.142203,0.127247,0,0,3297,644,1,11,1,unimportant
11,2,0.478261,0.4,1.436172,0.243345,0.253182,0,0.002736,0.000254,0.267868,0,0,0,7724,1356,1,3,1,unimportant
1,2,0.125,0.25,0.729841,1.93491,0,0,0.000387,0.001468,0.136436,0.300053,0,0,1423,357,1,1,2,unimportant
1,1,0.0625,0.25,-0.264685,0.247237,0,0,0.000229,0.000522,0,0.115366,0,0,3847,814,1,14,1,unimportant
5,1,0.416667,0.5,2.445968,1.348452,0.250201,0,0.002091,0.000428,0.313381,0.139448,0,0,1279,391,1,1,7,unimportant
6,1,0.5,1,2.535755,1.255918,0.337135,0,0.002009,0.002862,0.303925,0.362711,0,0,1403,556,1,3,8,unimportant
3,1,0.1,0.2,0.3125,-0.27419,0.366204,0,0.001183,0.000441,0.187217,0.084256,0,0,6480,904,1,2,7,unimportant
3,1,0.5,0.2,0.505059,-0.081631,0.366204,0,0.000185,0.000205,0,0,0,0,5345,960,1,8,2,unimportant
15,1,0.109489,0.5,3.206769,1.01064,0.257375,0,0.014346,0.000424,0.541092,0.136931,0,0,1793,356,1,1,7,unimportant
1,6,0.5,0.1875,-0.63155,1.672132,0,0.225281,0.000184,0.005127,0,0.384647,0,0,5552,948,1,17,2,unimportant
6,3,0.4,0.2,1.485577,1.304351,0.225281,0.318257,0.001178,0.000658,0.186239,0.13371,0,0,4010,1142,1,5,1,unimportant
3,2,0.157895,0.333333,-1.719155,-1.612698,0,0,0.000122,0.000155,0,0,0,0,49421,3125,1,4,1,unimportant
1,7,0.125,0.233333,0.636642,3.094473,0,0.318567,0.00032,0.003883,0.074609,0.397455,0,0,1562,491,0,3,1,unimportant
6,1,0.25,0.166667,0.802329,-0.477509,0.225281,0,0.002308,0.000963,0.248863,0.162513,0,0,7941,1519,1,5,6,unimportant
5,1,0.263158,1,1.788638,0.691122,0.316757,0,0.002284,0.000293,0.296667,0.052648,0,0,2468,977,1,4,17,unimportant
2,1,0.2,0.166667,0.746136,0.564911,0.346574,0,0.002109,0.00092,0.290943,0.198526,0,0,2800,521,1,1,2,unimportant
2,1,0.142857,1,-0.892999,-1.074224,0,0,0.00044,0.00074,0.021955,0.12077,0,0,14422,1612,1,8,7,unimportant
1,4,0.333333,0.666667,0.136759,2.034975,0,0.346574,0.000515,0.000598,0.105874,0.14281,0,0,2575,846,1,7,3,unimportant
46,5,0.403509,0.192308,2.455172,0.74789,0.220216,0,0.005267,0.002433,0.350949,0.274246,0,0,11659,1627,1,2,1,unimportant
1,1,0.2,0.333333,1.676816,2.188738,0,0,0.000843,0.000545,0.247524,0.20795,0,0,552,181,1,5,3,unimportant
90,1,0.337079,0.2,4.374354,0.386466,0.075692,0,1,0.000306,1,0.061336,0,0,3347,545,1,1,12,unimportant
2,4,0.153846,0.148148,-1.204558,0.000511,0,0,0.000322,0.001671,0,0.21696,0,0,19694,1430,1,5,5,unimportant
2,1,1,0.25,-1.722599,-1.903824,0,0,0.000169,0.000993,0,0.148055,0,0,33061,2611,1,12,5,unimportant
4,1,0.8,0.125,2.464911,1.590538,0,0,0.001933,0.000487,0.319658,0.173472,0,0,1004,279,1,5,12,unimportant
1,1,0.166667,0.142857,-0.597101,-0.08518,0,0,0.000523,0.000771,0.072909,0.14696,0,0,5364,1033,1,10,1,unimportant
15,1,0.211268,0.125,0.500803,-1.695326,0.284412,0,0.000939,0.000048,0.10836,0,0,0,26839,3790,1,2,1,unimportant
1,1,0.25,0.142857,0.505434,1.017355,0,0,0.000917,0.001098,0.197727,0.239,0,0,1781,256,1,5,1,unimportant
1,1,1,1,2.986418,3.498339,0,0,0.002495,0.000681,0.440993,0.320879,0,0,149,102,1,18,7,unimportant
6,1,0.272727,0.5,1.062316,-0.217522,0.289188,0,0.003405,0.00021,0.320595,0,0,0,6123,849,1,4,15,unimportant
10,4,0.25,0.363636,0.597039,0.19267,0.294162,0,0.001035,0.000308,0.128493,0.0088,0,0,16251,2795,1,1,2,unimportant
1,5,0.5,0.357143,0.649528,2.770888,0,0.316757,0.000374,0.003286,0.123837,0.388132,0,0,1542,330,1,9,7,unimportant
1,2,0.0625,0.117647,-0.957702,0.247367,0,0,0.000156,0.000512,0,0.091189,0,0,7693,1216,1,14,1,unimportant
28,1,0.373333,1,-0.085019,-2.905302,0,0,0.001101,0.003993,0.121332,0.316155,0,0,90002,3014,1,1,3,unimportant
1,5,0.142857,0.131579,-1.64374,0.47762,0,0,0.000181,0.000667,0,0.108496,0,0,15277,1610,1,11,1,unimportant
2,1,0.4,0.25,-1.146976,-1.328201,0.346574,0,0.000234,0.000244,0,0,0,0,18592,2815,1,7,12,unimportant
4,181,0.266667,0.257835,-1.202957,3.121167,0.346574,0.128861,0.000238,0.013807,0,0.473134,0,0,39325,2956,1,1,1,unimportant
4,1,0.173913,0.5,0.927958,0.053585,0.346574,0,0.002085,0.000234,0.264979,0.009175,0,1,4669,916,1,2,7,unimportant
7,1,0.225806,0.25,0.419921,-1.014068,0.205058,0,0.001078,0.000094,0.13843,0,0,0,13580,2137,1,3,5,unimportant
68,27,0.222951,0.19708,0.928853,0.517104,0.187774,0,0.003123,0.001299,0.256282,0.177039,0,0,79302,5561,0,1,1,unimportant
2,1,0.095238,0.142857,0.251876,0.07065,0.346574,0,0.000448,0.000255,0.072706,0.024867,0,0,4590,973,1,1,8,unimportant
3,1,0.078947,0.2,-1.557853,-2.144543,0,0,0.000503,0.00032,0.02334,0.005272,0,0,42059,4312,1,2,7,unimportant
19,4,0.234568,0.25,-1.315665,-2.361887,0.288563,0,0.000471,0.000192,0.008604,0,0,0,209079,6175,1,1,1,unimportant
1,1,0.25,0.333333,-0.167007,0.344915,0,0,0.000255,0.00059,0.013102,0.140015,0,0,3489,653,1,4,3,unimportant
1,1,0.166667,0.090909,-1.537994,-1.026072,0,0,0.000604,0.000106,0.066775,0,0,0,13744,1501,1,1,1,unimportant
1,2,0.5,0.2,0.260189,1.465258,0,0,0.000842,0.002319,0.17816,0.320499,0,0,2276,361,1,10,3,unimportant
3,5,0.15,0.147059,-0.676915,0.345833,0.366204,0.336506,0.000828,0.00052,0.102193,0.075795,0,0,17429,1885,1,6,1,unimportant
2,1,0.181818,0.142857,0.616048,0.434823,0,0,0.00077,0.000298,0.157393,0.055664,0,1,3189,635,1,5,1,unimportant
6,4,0.171429,0.222222,1.193168,1.299624,0.332415,0,0.003731,0.001596,0.350549,0.255479,0,0,5372,733,1,1,4,unimportant
